pair,model_pair,p_split,prompt_idx,tokens_generated,time_ms,tokens_per_sec,draft_accepted,draft_total,acceptance_rate
4,Qwen3.5-9B-Q4KM+0.8B-Q8,0,0,256,17615,14.53,209,242,.8636
4,Qwen3.5-9B-Q4KM+0.8B-Q8,0,1,256,32107,7.97,135,227,.5947
4,Qwen3.5-9B-Q4KM+0.8B-Q8,0,2,256,15941,16.05,224,238,.9411
4,Qwen3.5-9B-Q4KM+0.8B-Q8,0,3,256,72590,3.52,153,241,.6348
4,Qwen3.5-9B-Q4KM+0.8B-Q8,0.05,0,256,126882,2.01,165,275,.6000
4,Qwen3.5-9B-Q4KM+0.8B-Q8,0.05,1,256,84921,3.01,236,243,.9711
4,Qwen3.5-9B-Q4KM+0.8B-Q8,0.05,2,256,179420,1.42,146,310,.4709
4,Qwen3.5-9B-Q4KM+0.8B-Q8,0.05,3,256,56346,4.54,173,339,.5103
