pair,model_pair,p_split,prompt_idx,tokens_generated,time_ms,tokens_per_sec,draft_accepted,draft_total,acceptance_rate
10,Qwen2.5-Coder-32B-f16+0.5B-f16,0,0,512,44638,11.47,451,491,.9185
10,Qwen2.5-Coder-32B-f16+0.5B-f16,0,1,512,123289,4.15,331,440,.7522
10,Qwen2.5-Coder-32B-f16+0.5B-f16,0,2,512,84850,6.03,389,493,.7890
10,Qwen2.5-Coder-32B-f16+0.5B-f16,0,3,512,103527,4.94,358,463,.7732
10,Qwen2.5-Coder-32B-f16+0.5B-f16,0.05,0,512,43909,11.66,453,492,.9207
10,Qwen2.5-Coder-32B-f16+0.5B-f16,0.05,1,512,110037,4.65,353,515,.6854
10,Qwen2.5-Coder-32B-f16+0.5B-f16,0.05,2,512,75214,6.80,406,513,.7914
10,Qwen2.5-Coder-32B-f16+0.5B-f16,0.05,3,512,93049,5.50,380,501,.7584
10,Qwen2.5-Coder-32B-f16+0.5B-f16,0.1,0,512,44217,11.57,453,492,.9207
10,Qwen2.5-Coder-32B-f16+0.5B-f16,0.1,1,512,110484,4.63,353,515,.6854
10,Qwen2.5-Coder-32B-f16+0.5B-f16,0.1,2,512,75149,6.81,406,513,.7914
10,Qwen2.5-Coder-32B-f16+0.5B-f16,0.1,3,512,92214,5.55,380,501,.7584
10,Qwen2.5-Coder-32B-f16+0.5B-f16,0.2,0,512,43994,11.63,453,492,.9207
10,Qwen2.5-Coder-32B-f16+0.5B-f16,0.2,1,512,110776,4.62,353,515,.6854
10,Qwen2.5-Coder-32B-f16+0.5B-f16,0.2,2,512,75648,6.76,406,513,.7914
10,Qwen2.5-Coder-32B-f16+0.5B-f16,0.2,3,512,92692,5.52,380,501,.7584
10,Qwen2.5-Coder-32B-f16+0.5B-f16,0.3,0,512,44063,11.61,453,492,.9207
10,Qwen2.5-Coder-32B-f16+0.5B-f16,0.3,1,512,111047,4.61,353,515,.6854
10,Qwen2.5-Coder-32B-f16+0.5B-f16,0.3,2,512,75265,6.80,406,513,.7914
10,Qwen2.5-Coder-32B-f16+0.5B-f16,0.3,3,512,92067,5.56,380,501,.7584
