pair,model_pair,p_split,prompt_idx,tokens_generated,time_ms,tokens_per_sec,draft_accepted,draft_total,acceptance_rate
10,Qwen2.5-Coder-32B-f16+0.5B-f16,0,0,256,25232,10.14,221,238,.9285
10,Qwen2.5-Coder-32B-f16+0.5B-f16,0,1,256,65883,3.88,158,211,.7488
10,Qwen2.5-Coder-32B-f16+0.5B-f16,0,2,256,61565,4.15,165,224,.7366
10,Qwen2.5-Coder-32B-f16+0.5B-f16,0,3,256,51772,4.94,180,231,.7792
10,Qwen2.5-Coder-32B-f16+0.5B-f16,0.05,0,256,22986,11.13,225,243,.9259
10,Qwen2.5-Coder-32B-f16+0.5B-f16,0.05,1,256,57131,4.48,174,244,.7131
10,Qwen2.5-Coder-32B-f16+0.5B-f16,0.05,2,256,52170,4.90,181,249,.7269
10,Qwen2.5-Coder-32B-f16+0.5B-f16,0.05,3,256,45669,5.60,191,250,.7640
10,Qwen2.5-Coder-32B-f16+0.5B-f16,0.1,0,256,23009,11.12,225,243,.9259
10,Qwen2.5-Coder-32B-f16+0.5B-f16,0.1,1,256,56591,4.52,174,244,.7131
10,Qwen2.5-Coder-32B-f16+0.5B-f16,0.1,2,256,52399,4.88,181,249,.7269
10,Qwen2.5-Coder-32B-f16+0.5B-f16,0.1,3,256,45928,5.57,191,250,.7640
10,Qwen2.5-Coder-32B-f16+0.5B-f16,0.2,0,256,22950,11.15,225,243,.9259
10,Qwen2.5-Coder-32B-f16+0.5B-f16,0.2,1,256,56997,4.49,174,244,.7131
10,Qwen2.5-Coder-32B-f16+0.5B-f16,0.2,2,256,52332,4.89,181,249,.7269
10,Qwen2.5-Coder-32B-f16+0.5B-f16,0.2,3,256,45979,5.56,191,250,.7640
10,Qwen2.5-Coder-32B-f16+0.5B-f16,0.3,0,256,22916,11.17,225,243,.9259
10,Qwen2.5-Coder-32B-f16+0.5B-f16,0.3,1,256,56157,4.55,174,244,.7131
10,Qwen2.5-Coder-32B-f16+0.5B-f16,0.3,2,256,51807,4.94,181,249,.7269
10,Qwen2.5-Coder-32B-f16+0.5B-f16,0.3,3,256,45607,5.61,191,250,.7640
