pair,model_pair,p_split,prompt_idx,tokens_generated,time_ms,tokens_per_sec,draft_accepted,draft_total,acceptance_rate
10,Qwen2.5-Coder-32B-f16+0.5B-f16,0,0,256,19957,12.82,227,243,.9341
10,Qwen2.5-Coder-32B-f16+0.5B-f16,0,1,256,54402,4.70,158,211,.7488
10,Qwen2.5-Coder-32B-f16+0.5B-f16,0,2,256,51152,5.00,165,224,.7366
10,Qwen2.5-Coder-32B-f16+0.5B-f16,0,3,256,42993,5.95,181,232,.7801
10,Qwen2.5-Coder-32B-f16+0.5B-f16,0.05,0,256,19367,13.21,230,249,.9236
10,Qwen2.5-Coder-32B-f16+0.5B-f16,0.05,1,256,49768,5.14,174,242,.7190
10,Qwen2.5-Coder-32B-f16+0.5B-f16,0.05,2,256,46105,5.55,181,249,.7269
10,Qwen2.5-Coder-32B-f16+0.5B-f16,0.05,3,256,39664,6.45,193,252,.7658
10,Qwen2.5-Coder-32B-f16+0.5B-f16,0.1,0,256,19401,13.19,230,249,.9236
10,Qwen2.5-Coder-32B-f16+0.5B-f16,0.1,1,256,48969,5.22,174,242,.7190
10,Qwen2.5-Coder-32B-f16+0.5B-f16,0.1,2,256,44800,5.71,181,249,.7269
10,Qwen2.5-Coder-32B-f16+0.5B-f16,0.1,3,256,38662,6.62,193,252,.7658
10,Qwen2.5-Coder-32B-f16+0.5B-f16,0.2,0,256,18850,13.58,230,249,.9236
10,Qwen2.5-Coder-32B-f16+0.5B-f16,0.2,1,256,48956,5.22,174,242,.7190
10,Qwen2.5-Coder-32B-f16+0.5B-f16,0.2,2,256,45281,5.65,181,249,.7269
10,Qwen2.5-Coder-32B-f16+0.5B-f16,0.2,3,256,39184,6.53,193,252,.7658
10,Qwen2.5-Coder-32B-f16+0.5B-f16,0.3,0,256,19001,13.47,230,249,.9236
10,Qwen2.5-Coder-32B-f16+0.5B-f16,0.3,1,256,49559,5.16,174,242,.7190
10,Qwen2.5-Coder-32B-f16+0.5B-f16,0.3,2,256,45610,5.61,181,249,.7269
10,Qwen2.5-Coder-32B-f16+0.5B-f16,0.3,3,256,39321,6.51,193,252,.7658
