pair,model_pair,p_split,prompt_idx,tokens_generated,time_ms,tokens_per_sec,draft_accepted,draft_total,acceptance_rate
5,Qwen2.5-Coder-32B-Q4KM+0.5B-f16,0,0,128,4532,28.24,105,112,.9375
5,Qwen2.5-Coder-32B-Q4KM+0.5B-f16,0,1,128,7747,16.52,80,121,.6611
5,Qwen2.5-Coder-32B-Q4KM+0.5B-f16,0,2,128,7589,16.86,80,111,.7207
5,Qwen2.5-Coder-32B-Q4KM+0.5B-f16,0,3,128,6393,20.02,90,115,.7826
5,Qwen2.5-Coder-32B-Q4KM+0.5B-f16,0.05,0,128,4589,27.89,109,117,.9316
5,Qwen2.5-Coder-32B-Q4KM+0.5B-f16,0.05,1,128,8754,14.62,83,141,.5886
5,Qwen2.5-Coder-32B-Q4KM+0.5B-f16,0.05,2,128,7959,16.08,87,119,.7310
5,Qwen2.5-Coder-32B-Q4KM+0.5B-f16,0.05,3,128,6434,19.89,96,126,.7619
5,Qwen2.5-Coder-32B-Q4KM+0.5B-f16,0.1,0,128,4662,27.45,109,117,.9316
5,Qwen2.5-Coder-32B-Q4KM+0.5B-f16,0.1,1,128,8763,14.60,83,141,.5886
5,Qwen2.5-Coder-32B-Q4KM+0.5B-f16,0.1,2,128,8025,15.95,87,119,.7310
5,Qwen2.5-Coder-32B-Q4KM+0.5B-f16,0.1,3,128,6478,19.75,96,126,.7619
5,Qwen2.5-Coder-32B-Q4KM+0.5B-f16,0.2,0,128,4557,28.08,109,117,.9316
5,Qwen2.5-Coder-32B-Q4KM+0.5B-f16,0.2,1,128,8458,15.13,83,141,.5886
5,Qwen2.5-Coder-32B-Q4KM+0.5B-f16,0.2,2,128,7803,16.40,87,119,.7310
5,Qwen2.5-Coder-32B-Q4KM+0.5B-f16,0.2,3,128,6356,20.13,96,126,.7619
5,Qwen2.5-Coder-32B-Q4KM+0.5B-f16,0.3,0,128,4615,27.73,109,117,.9316
5,Qwen2.5-Coder-32B-Q4KM+0.5B-f16,0.3,1,128,8688,14.73,83,141,.5886
5,Qwen2.5-Coder-32B-Q4KM+0.5B-f16,0.3,2,128,7845,16.31,87,119,.7310
5,Qwen2.5-Coder-32B-Q4KM+0.5B-f16,0.3,3,128,6370,20.09,96,126,.7619
