pair,model_pair,p_split,prompt_idx,tokens_generated,time_ms,tokens_per_sec,draft_accepted,draft_total,acceptance_rate
1,Qwen2.5-7B-f16+0.5B-f16,0,0,256,4797,53.36,222,259,.8571
1,Qwen2.5-7B-f16+0.5B-f16,0,1,256,10224,25.03,149,212,.7028
1,Qwen2.5-7B-f16+0.5B-f16,0,2,256,7406,34.56,185,223,.8295
1,Qwen2.5-7B-f16+0.5B-f16,0,3,256,8626,29.67,170,225,.7555
1,Qwen2.5-7B-f16+0.5B-f16,0.05,0,256,5194,49.28,223,248,.8991
1,Qwen2.5-7B-f16+0.5B-f16,0.05,1,256,9532,26.85,174,267,.6516
1,Qwen2.5-7B-f16+0.5B-f16,0.05,2,256,7388,34.65,195,242,.8057
1,Qwen2.5-7B-f16+0.5B-f16,0.05,3,256,8651,29.59,180,242,.7438
1,Qwen2.5-7B-f16+0.5B-f16,0.1,0,256,5030,50.89,223,248,.8991
1,Qwen2.5-7B-f16+0.5B-f16,0.1,1,256,9376,27.30,174,267,.6516
1,Qwen2.5-7B-f16+0.5B-f16,0.1,2,256,7397,34.60,195,242,.8057
1,Qwen2.5-7B-f16+0.5B-f16,0.1,3,256,8734,29.31,180,242,.7438
1,Qwen2.5-7B-f16+0.5B-f16,0.2,0,256,5085,50.34,223,248,.8991
1,Qwen2.5-7B-f16+0.5B-f16,0.2,1,256,9486,26.98,174,267,.6516
1,Qwen2.5-7B-f16+0.5B-f16,0.2,2,256,7425,34.47,195,242,.8057
1,Qwen2.5-7B-f16+0.5B-f16,0.2,3,256,8715,29.37,180,242,.7438
1,Qwen2.5-7B-f16+0.5B-f16,0.3,0,256,5031,50.88,223,248,.8991
1,Qwen2.5-7B-f16+0.5B-f16,0.3,1,256,9268,27.62,174,267,.6516
1,Qwen2.5-7B-f16+0.5B-f16,0.3,2,256,7290,35.11,195,242,.8057
1,Qwen2.5-7B-f16+0.5B-f16,0.3,3,256,8657,29.57,180,242,.7438
