pair,model_pair,p_split,prompt_idx,tokens_generated,time_ms,tokens_per_sec,draft_accepted,draft_total,acceptance_rate
5,Qwen2.5-Coder-32B-Q4KM+0.5B-f16,0,0,128,4458,28.71,105,112,.9375
5,Qwen2.5-Coder-32B-Q4KM+0.5B-f16,0,1,128,7595,16.85,80,121,.6611
5,Qwen2.5-Coder-32B-Q4KM+0.5B-f16,0,2,128,7441,17.20,80,111,.7207
5,Qwen2.5-Coder-32B-Q4KM+0.5B-f16,0,3,128,6336,20.20,90,115,.7826
5,Qwen2.5-Coder-32B-Q4KM+0.5B-f16,0.05,0,128,4445,28.79,109,117,.9316
5,Qwen2.5-Coder-32B-Q4KM+0.5B-f16,0.05,1,128,8153,15.69,83,140,.5928
5,Qwen2.5-Coder-32B-Q4KM+0.5B-f16,0.05,2,128,7571,16.90,86,121,.7107
5,Qwen2.5-Coder-32B-Q4KM+0.5B-f16,0.05,3,128,6035,21.20,96,124,.7741
5,Qwen2.5-Coder-32B-Q4KM+0.5B-f16,0.1,0,128,4369,29.29,109,117,.9316
5,Qwen2.5-Coder-32B-Q4KM+0.5B-f16,0.1,1,128,8096,15.81,83,140,.5928
5,Qwen2.5-Coder-32B-Q4KM+0.5B-f16,0.1,2,128,7477,17.11,86,121,.7107
5,Qwen2.5-Coder-32B-Q4KM+0.5B-f16,0.1,3,128,5960,21.47,96,124,.7741
5,Qwen2.5-Coder-32B-Q4KM+0.5B-f16,0.2,0,128,4431,28.88,109,117,.9316
5,Qwen2.5-Coder-32B-Q4KM+0.5B-f16,0.2,1,128,8164,15.67,83,140,.5928
5,Qwen2.5-Coder-32B-Q4KM+0.5B-f16,0.2,2,128,7507,17.05,86,121,.7107
5,Qwen2.5-Coder-32B-Q4KM+0.5B-f16,0.2,3,128,5916,21.63,96,124,.7741
5,Qwen2.5-Coder-32B-Q4KM+0.5B-f16,0.3,0,128,4679,27.35,109,117,.9316
5,Qwen2.5-Coder-32B-Q4KM+0.5B-f16,0.3,1,128,8707,14.70,83,140,.5928
5,Qwen2.5-Coder-32B-Q4KM+0.5B-f16,0.3,2,128,7921,16.15,86,121,.7107
5,Qwen2.5-Coder-32B-Q4KM+0.5B-f16,0.3,3,128,6208,20.61,96,124,.7741
6,Qwen3.5-122B-A10B-Q4KM+0.8B-Q8,0,0,128,23415,5.46,65,131,.4961
6,Qwen3.5-122B-A10B-Q4KM+0.8B-Q8,0,1,128,23175,5.52,70,154,.4545
6,Qwen3.5-122B-A10B-Q4KM+0.8B-Q8,0,2,128,21600,5.92,71,127,.5590
6,Qwen3.5-122B-A10B-Q4KM+0.8B-Q8,0,3,128,18349,6.97,86,158,.5443
6,Qwen3.5-122B-A10B-Q4KM+0.8B-Q8,0.05,0,128,63054,2.03,34,387,.0878
6,Qwen3.5-122B-A10B-Q4KM+0.8B-Q8,0.05,1,128,89224,1.43,12,1447,.0082
6,Qwen3.5-122B-A10B-Q4KM+0.8B-Q8,0.05,2,128,17705,7.22,104,163,.6380
6,Qwen3.5-122B-A10B-Q4KM+0.8B-Q8,0.05,3,128,48467,2.64,67,237,.2827
6,Qwen3.5-122B-A10B-Q4KM+0.8B-Q8,0.1,0,128,62299,2.05,34,387,.0878
6,Qwen3.5-122B-A10B-Q4KM+0.8B-Q8,0.1,1,128,85801,1.49,12,1447,.0082
6,Qwen3.5-122B-A10B-Q4KM+0.8B-Q8,0.1,2,128,17622,7.26,104,163,.6380
6,Qwen3.5-122B-A10B-Q4KM+0.8B-Q8,0.1,3,128,48643,2.63,67,237,.2827
6,Qwen3.5-122B-A10B-Q4KM+0.8B-Q8,0.2,0,128,62282,2.05,34,387,.0878
6,Qwen3.5-122B-A10B-Q4KM+0.8B-Q8,0.2,1,128,84578,1.51,12,1447,.0082
6,Qwen3.5-122B-A10B-Q4KM+0.8B-Q8,0.2,2,128,17696,7.23,104,163,.6380
6,Qwen3.5-122B-A10B-Q4KM+0.8B-Q8,0.2,3,128,48627,2.63,67,237,.2827
6,Qwen3.5-122B-A10B-Q4KM+0.8B-Q8,0.3,0,128,59749,2.14,34,387,.0878
6,Qwen3.5-122B-A10B-Q4KM+0.8B-Q8,0.3,1,128,82387,1.55,12,1447,.0082
6,Qwen3.5-122B-A10B-Q4KM+0.8B-Q8,0.3,2,128,17241,7.42,104,163,.6380
6,Qwen3.5-122B-A10B-Q4KM+0.8B-Q8,0.3,3,128,47147,2.71,67,237,.2827
