pair,model_pair,p_split,prompt_idx,tokens_generated,time_ms,tokens_per_sec,draft_accepted,draft_total,acceptance_rate
5,Qwen2.5-Coder-32B-Q4KM+0.5B-f16,0,0,256,7688,33.29,223,231,.9653
5,Qwen2.5-Coder-32B-Q4KM+0.5B-f16,0,1,256,14282,17.92,175,243,.7201
5,Qwen2.5-Coder-32B-Q4KM+0.5B-f16,0,2,256,14382,17.80,173,233,.7424
5,Qwen2.5-Coder-32B-Q4KM+0.5B-f16,0,3,256,14319,17.87,173,229,.7554
5,Qwen2.5-Coder-32B-Q4KM+0.5B-f16,0.05,0,256,7867,32.54,226,235,.9617
5,Qwen2.5-Coder-32B-Q4KM+0.5B-f16,0.05,1,256,16872,15.17,170,272,.6250
5,Qwen2.5-Coder-32B-Q4KM+0.5B-f16,0.05,2,256,14801,17.29,183,256,.7148
5,Qwen2.5-Coder-32B-Q4KM+0.5B-f16,0.05,3,256,13946,18.35,187,244,.7663
5,Qwen2.5-Coder-32B-Q4KM+0.5B-f16,0.1,0,256,7788,32.87,226,235,.9617
5,Qwen2.5-Coder-32B-Q4KM+0.5B-f16,0.1,1,256,16743,15.28,170,272,.6250
5,Qwen2.5-Coder-32B-Q4KM+0.5B-f16,0.1,2,256,14614,17.51,183,256,.7148
5,Qwen2.5-Coder-32B-Q4KM+0.5B-f16,0.1,3,256,13779,18.57,187,244,.7663
5,Qwen2.5-Coder-32B-Q4KM+0.5B-f16,0.2,0,256,7806,32.79,226,235,.9617
5,Qwen2.5-Coder-32B-Q4KM+0.5B-f16,0.2,1,256,16707,15.32,170,272,.6250
5,Qwen2.5-Coder-32B-Q4KM+0.5B-f16,0.2,2,256,14632,17.49,183,256,.7148
5,Qwen2.5-Coder-32B-Q4KM+0.5B-f16,0.2,3,256,13700,18.68,187,244,.7663
5,Qwen2.5-Coder-32B-Q4KM+0.5B-f16,0.3,0,256,7786,32.87,226,235,.9617
5,Qwen2.5-Coder-32B-Q4KM+0.5B-f16,0.3,1,256,16762,15.27,170,272,.6250
5,Qwen2.5-Coder-32B-Q4KM+0.5B-f16,0.3,2,256,14606,17.52,183,256,.7148
5,Qwen2.5-Coder-32B-Q4KM+0.5B-f16,0.3,3,256,13723,18.65,187,244,.7663
