pair,model_pair,p_split,prompt_idx,tokens_generated,time_ms,tokens_per_sec,draft_accepted,draft_total,acceptance_rate
14,Qwen3.5-35B-A3B-Q4KM+0.8B-Q8,0,0,256,26060,9.82,178,271,.6568
14,Qwen3.5-35B-A3B-Q4KM+0.8B-Q8,0,1,256,23550,10.87,185,256,.7226
14,Qwen3.5-35B-A3B-Q4KM+0.8B-Q8,0,2,256,17775,14.40,214,246,.8699
14,Qwen3.5-35B-A3B-Q4KM+0.8B-Q8,0,3,256,21688,11.80,199,246,.8089
14,Qwen3.5-35B-A3B-Q4KM+0.8B-Q8,0.05,0,0,67249,0,0,0,0
14,Qwen3.5-35B-A3B-Q4KM+0.8B-Q8,0.05,1,0,19,0,0,0,0
14,Qwen3.5-35B-A3B-Q4KM+0.8B-Q8,0.05,2,0,18,0,0,0,0
14,Qwen3.5-35B-A3B-Q4KM+0.8B-Q8,0.05,3,0,18,0,0,0,0
14,Qwen3.5-35B-A3B-Q4KM+0.8B-Q8,0.1,0,0,67221,0,0,0,0
14,Qwen3.5-35B-A3B-Q4KM+0.8B-Q8,0.1,1,0,18,0,0,0,0
14,Qwen3.5-35B-A3B-Q4KM+0.8B-Q8,0.1,2,0,20,0,0,0,0
14,Qwen3.5-35B-A3B-Q4KM+0.8B-Q8,0.1,3,0,18,0,0,0,0
14,Qwen3.5-35B-A3B-Q4KM+0.8B-Q8,0.2,0,0,67783,0,0,0,0
14,Qwen3.5-35B-A3B-Q4KM+0.8B-Q8,0.2,1,0,21,0,0,0,0
14,Qwen3.5-35B-A3B-Q4KM+0.8B-Q8,0.2,2,0,18,0,0,0,0
14,Qwen3.5-35B-A3B-Q4KM+0.8B-Q8,0.2,3,0,19,0,0,0,0
14,Qwen3.5-35B-A3B-Q4KM+0.8B-Q8,0.3,0,0,67177,0,0,0,0
14,Qwen3.5-35B-A3B-Q4KM+0.8B-Q8,0.3,1,0,19,0,0,0,0
14,Qwen3.5-35B-A3B-Q4KM+0.8B-Q8,0.3,2,0,19,0,0,0,0
14,Qwen3.5-35B-A3B-Q4KM+0.8B-Q8,0.3,3,0,19,0,0,0,0
