pair,model_pair,p_split,prompt_idx,tokens_generated,time_ms,tokens_per_sec,draft_accepted,draft_total,acceptance_rate
4,Qwen3.5-9B-Q4KM+0.8B-Q8,0,0,256,17646,14.50,181,282,.6418
4,Qwen3.5-9B-Q4KM+0.8B-Q8,0,1,256,19507,13.12,158,242,.6528
4,Qwen3.5-9B-Q4KM+0.8B-Q8,0,2,256,17898,14.30,174,274,.6350
4,Qwen3.5-9B-Q4KM+0.8B-Q8,0,3,256,20834,12.28,160,310,.5161
4,Qwen3.5-9B-Q4KM+0.8B-Q8,0.05,0,0,5034,0,0,0,0
4,Qwen3.5-9B-Q4KM+0.8B-Q8,0.05,1,0,20,0,0,0,0
4,Qwen3.5-9B-Q4KM+0.8B-Q8,0.05,2,0,19,0,0,0,0
4,Qwen3.5-9B-Q4KM+0.8B-Q8,0.05,3,0,18,0,0,0,0
4,Qwen3.5-9B-Q4KM+0.8B-Q8,0.1,0,0,5074,0,0,0,0
4,Qwen3.5-9B-Q4KM+0.8B-Q8,0.1,1,0,19,0,0,0,0
4,Qwen3.5-9B-Q4KM+0.8B-Q8,0.1,2,0,19,0,0,0,0
4,Qwen3.5-9B-Q4KM+0.8B-Q8,0.1,3,0,19,0,0,0,0
4,Qwen3.5-9B-Q4KM+0.8B-Q8,0.2,0,0,5030,0,0,0,0
4,Qwen3.5-9B-Q4KM+0.8B-Q8,0.2,1,0,20,0,0,0,0
4,Qwen3.5-9B-Q4KM+0.8B-Q8,0.2,2,0,19,0,0,0,0
4,Qwen3.5-9B-Q4KM+0.8B-Q8,0.2,3,0,19,0,0,0,0
4,Qwen3.5-9B-Q4KM+0.8B-Q8,0.3,0,0,4914,0,0,0,0
4,Qwen3.5-9B-Q4KM+0.8B-Q8,0.3,1,0,18,0,0,0,0
4,Qwen3.5-9B-Q4KM+0.8B-Q8,0.3,2,0,20,0,0,0,0
4,Qwen3.5-9B-Q4KM+0.8B-Q8,0.3,3,0,19,0,0,0,0
