pair,model_pair,p_split,prompt_idx,tokens_generated,time_ms,tokens_per_sec,draft_accepted,draft_total,acceptance_rate
4,Qwen3.5-9B-Q4KM+0.8B-Q8,0,0,256,18632,13.73,181,282,.6418
4,Qwen3.5-9B-Q4KM+0.8B-Q8,0,1,256,20425,12.53,158,242,.6528
4,Qwen3.5-9B-Q4KM+0.8B-Q8,0,2,256,18402,13.91,174,274,.6350
4,Qwen3.5-9B-Q4KM+0.8B-Q8,0,3,256,20917,12.23,160,310,.5161
4,Qwen3.5-9B-Q4KM+0.8B-Q8,0.05,0,256,50513,5.06,126,309,.4077
4,Qwen3.5-9B-Q4KM+0.8B-Q8,0.05,1,256,40191,6.36,153,288,.5312
4,Qwen3.5-9B-Q4KM+0.8B-Q8,0.05,2,256,50835,5.03,118,353,.3342
4,Qwen3.5-9B-Q4KM+0.8B-Q8,0.05,3,256,42936,5.96,131,388,.3376
4,Qwen3.5-9B-Q4KM+0.8B-Q8,0.1,0,256,49378,5.18,126,309,.4077
4,Qwen3.5-9B-Q4KM+0.8B-Q8,0.1,1,256,38754,6.60,153,288,.5312
4,Qwen3.5-9B-Q4KM+0.8B-Q8,0.1,2,256,49225,5.20,118,353,.3342
4,Qwen3.5-9B-Q4KM+0.8B-Q8,0.1,3,256,41583,6.15,131,388,.3376
4,Qwen3.5-9B-Q4KM+0.8B-Q8,0.2,0,256,50015,5.11,126,309,.4077
4,Qwen3.5-9B-Q4KM+0.8B-Q8,0.2,1,256,39299,6.51,153,288,.5312
4,Qwen3.5-9B-Q4KM+0.8B-Q8,0.2,2,256,49536,5.16,118,353,.3342
4,Qwen3.5-9B-Q4KM+0.8B-Q8,0.2,3,256,41606,6.15,131,388,.3376
4,Qwen3.5-9B-Q4KM+0.8B-Q8,0.3,0,256,49804,5.14,126,309,.4077
4,Qwen3.5-9B-Q4KM+0.8B-Q8,0.3,1,256,39470,6.48,153,288,.5312
4,Qwen3.5-9B-Q4KM+0.8B-Q8,0.3,2,256,50383,5.08,118,353,.3342
4,Qwen3.5-9B-Q4KM+0.8B-Q8,0.3,3,256,42498,6.02,131,388,.3376
3,Qwen3.5-27B-Q4KM+0.8B-Q8,0,0,256,51477,4.97,148,243,.6090
3,Qwen3.5-27B-Q4KM+0.8B-Q8,0,1,256,47447,5.39,160,286,.5594
3,Qwen3.5-27B-Q4KM+0.8B-Q8,0,2,256,46678,5.48,166,296,.5608
3,Qwen3.5-27B-Q4KM+0.8B-Q8,0,3,256,53020,4.82,151,346,.4364
3,Qwen3.5-27B-Q4KM+0.8B-Q8,0.05,0,256,150652,1.69,117,558,.2096
3,Qwen3.5-27B-Q4KM+0.8B-Q8,0.05,1,256,102978,2.48,136,353,.3852
3,Qwen3.5-27B-Q4KM+0.8B-Q8,0.05,2,256,130717,1.95,113,351,.3219
3,Qwen3.5-27B-Q4KM+0.8B-Q8,0.05,3,256,142136,1.80,110,415,.2650
3,Qwen3.5-27B-Q4KM+0.8B-Q8,0.1,0,256,150297,1.70,117,558,.2096
3,Qwen3.5-27B-Q4KM+0.8B-Q8,0.1,1,256,101014,2.53,136,353,.3852
3,Qwen3.5-27B-Q4KM+0.8B-Q8,0.1,2,256,125457,2.04,113,351,.3219
3,Qwen3.5-27B-Q4KM+0.8B-Q8,0.1,3,256,140819,1.81,110,415,.2650
