pair,model_pair,p_split,prompt_idx,tokens_generated,time_ms,tokens_per_sec,draft_accepted,draft_total,acceptance_rate
14,Qwen3.5-35B-A3B-Q4KM+0.8B-Q8,0,0,128,13056,9.80,90,120,.7500
14,Qwen3.5-35B-A3B-Q4KM+0.8B-Q8,0,1,128,10103,12.66,107,124,.8629
14,Qwen3.5-35B-A3B-Q4KM+0.8B-Q8,0,2,128,12050,10.62,87,119,.7310
14,Qwen3.5-35B-A3B-Q4KM+0.8B-Q8,0,3,128,15386,8.31,82,120,.6833
14,Qwen3.5-35B-A3B-Q4KM+0.8B-Q8,0.05,0,128,33848,3.78,81,137,.5912
14,Qwen3.5-35B-A3B-Q4KM+0.8B-Q8,0.05,1,128,28985,4.41,80,143,.5594
14,Qwen3.5-35B-A3B-Q4KM+0.8B-Q8,0.05,2,128,29358,4.35,89,154,.5779
14,Qwen3.5-35B-A3B-Q4KM+0.8B-Q8,0.05,3,128,35329,3.62,79,225,.3511
14,Qwen3.5-35B-A3B-Q4KM+0.8B-Q8,0.1,0,128,33951,3.77,81,137,.5912
14,Qwen3.5-35B-A3B-Q4KM+0.8B-Q8,0.1,1,128,28666,4.46,80,143,.5594
14,Qwen3.5-35B-A3B-Q4KM+0.8B-Q8,0.1,2,128,29175,4.38,89,154,.5779
14,Qwen3.5-35B-A3B-Q4KM+0.8B-Q8,0.1,3,128,35523,3.60,79,225,.3511
14,Qwen3.5-35B-A3B-Q4KM+0.8B-Q8,0.2,0,128,33384,3.83,81,137,.5912
14,Qwen3.5-35B-A3B-Q4KM+0.8B-Q8,0.2,1,128,27925,4.58,80,143,.5594
14,Qwen3.5-35B-A3B-Q4KM+0.8B-Q8,0.2,2,128,28995,4.41,89,154,.5779
14,Qwen3.5-35B-A3B-Q4KM+0.8B-Q8,0.2,3,128,35224,3.63,79,225,.3511
14,Qwen3.5-35B-A3B-Q4KM+0.8B-Q8,0.3,0,128,32046,3.99,81,137,.5912
14,Qwen3.5-35B-A3B-Q4KM+0.8B-Q8,0.3,1,128,27125,4.71,80,143,.5594
14,Qwen3.5-35B-A3B-Q4KM+0.8B-Q8,0.3,2,128,27805,4.60,89,154,.5779
14,Qwen3.5-35B-A3B-Q4KM+0.8B-Q8,0.3,3,128,34491,3.71,79,225,.3511
