pair,model_pair,p_split,prompt_idx,tokens_generated,time_ms,tokens_per_sec,draft_accepted,draft_total,acceptance_rate
11,Qwen2.5-Coder-32B-Q8_0+0.5B-f16,0,0,256,17635,14.51,223,231,.9653
11,Qwen2.5-Coder-32B-Q8_0+0.5B-f16,0,1,256,38404,6.66,158,211,.7488
11,Qwen2.5-Coder-32B-Q8_0+0.5B-f16,0,2,256,33505,7.64,174,244,.7131
11,Qwen2.5-Coder-32B-Q8_0+0.5B-f16,0,3,256,31807,8.04,178,235,.7574
11,Qwen2.5-Coder-32B-Q8_0+0.5B-f16,0.05,0,256,17675,14.48,226,235,.9617
11,Qwen2.5-Coder-32B-Q8_0+0.5B-f16,0.05,1,256,37523,6.82,174,244,.7131
11,Qwen2.5-Coder-32B-Q8_0+0.5B-f16,0.05,2,256,34347,7.45,183,258,.7093
11,Qwen2.5-Coder-32B-Q8_0+0.5B-f16,0.05,3,256,31955,8.01,189,254,.7440
11,Qwen2.5-Coder-32B-Q8_0+0.5B-f16,0.1,0,256,17765,14.41,226,235,.9617
11,Qwen2.5-Coder-32B-Q8_0+0.5B-f16,0.1,1,256,37850,6.76,174,244,.7131
11,Qwen2.5-Coder-32B-Q8_0+0.5B-f16,0.1,2,256,34300,7.46,183,258,.7093
11,Qwen2.5-Coder-32B-Q8_0+0.5B-f16,0.1,3,256,31972,8.00,189,254,.7440
11,Qwen2.5-Coder-32B-Q8_0+0.5B-f16,0.2,0,256,18223,14.04,226,235,.9617
11,Qwen2.5-Coder-32B-Q8_0+0.5B-f16,0.2,1,256,37619,6.80,174,244,.7131
11,Qwen2.5-Coder-32B-Q8_0+0.5B-f16,0.2,2,256,34037,7.52,183,258,.7093
11,Qwen2.5-Coder-32B-Q8_0+0.5B-f16,0.2,3,256,31673,8.08,189,254,.7440
11,Qwen2.5-Coder-32B-Q8_0+0.5B-f16,0.3,0,256,17819,14.36,226,235,.9617
11,Qwen2.5-Coder-32B-Q8_0+0.5B-f16,0.3,1,256,37467,6.83,174,244,.7131
11,Qwen2.5-Coder-32B-Q8_0+0.5B-f16,0.3,2,256,34192,7.48,183,258,.7093
11,Qwen2.5-Coder-32B-Q8_0+0.5B-f16,0.3,3,256,31920,8.02,189,254,.7440
