pair,model_pair,p_split,prompt_idx,tokens_generated,time_ms,tokens_per_sec,draft_accepted,draft_total,acceptance_rate
10,Qwen2.5-Coder-32B-f16+0.5B-f16,0,0,256,20423,12.53,226,243,.9300
10,Qwen2.5-Coder-32B-f16+0.5B-f16,0,1,256,55142,4.64,158,211,.7488
10,Qwen2.5-Coder-32B-f16+0.5B-f16,0,2,256,51862,4.93,165,224,.7366
10,Qwen2.5-Coder-32B-f16+0.5B-f16,0,3,256,43366,5.90,181,232,.7801
10,Qwen2.5-Coder-32B-f16+0.5B-f16,0.05,0,256,18555,13.79,230,249,.9236
10,Qwen2.5-Coder-32B-f16+0.5B-f16,0.05,1,256,48932,5.23,174,242,.7190
10,Qwen2.5-Coder-32B-f16+0.5B-f16,0.05,2,256,45324,5.64,181,249,.7269
10,Qwen2.5-Coder-32B-f16+0.5B-f16,0.05,3,256,39376,6.50,193,252,.7658
10,Qwen2.5-Coder-32B-f16+0.5B-f16,0.1,0,0,901792,0,0,0,0
10,Qwen2.5-Coder-32B-f16+0.5B-f16,0.1,1,0,21,0,0,0,0
10,Qwen2.5-Coder-32B-f16+0.5B-f16,0.1,2,0,20,0,0,0,0
10,Qwen2.5-Coder-32B-f16+0.5B-f16,0.1,3,0,20,0,0,0,0
10,Qwen2.5-Coder-32B-f16+0.5B-f16,0.2,0,256,18845,13.58,230,249,.9236
10,Qwen2.5-Coder-32B-f16+0.5B-f16,0.2,1,256,100981,2.53,174,242,.7190
10,Qwen2.5-Coder-32B-f16+0.5B-f16,0.2,2,256,72796,3.51,181,249,.7269
10,Qwen2.5-Coder-32B-f16+0.5B-f16,0.2,3,256,46785,5.47,193,252,.7658
10,Qwen2.5-Coder-32B-f16+0.5B-f16,0.3,0,256,18812,13.60,230,249,.9236
10,Qwen2.5-Coder-32B-f16+0.5B-f16,0.3,1,0,25410,0,0,0,0
10,Qwen2.5-Coder-32B-f16+0.5B-f16,0.3,2,0,21,0,0,0,0
10,Qwen2.5-Coder-32B-f16+0.5B-f16,0.3,3,0,19,0,0,0,0
