pair,model_pair,p_split,prompt_idx,tokens_generated,time_ms,tokens_per_sec,draft_accepted,draft_total,acceptance_rate
1,Qwen2.5-7B-f16+0.5B-f16,0,0,256,8971,28.53,227,264,.8598
1,Qwen2.5-7B-f16+0.5B-f16,0,1,256,19450,13.16,149,212,.7028
1,Qwen2.5-7B-f16+0.5B-f16,0,2,256,14066,18.19,186,224,.8303
1,Qwen2.5-7B-f16+0.5B-f16,0,3,256,16432,15.57,170,225,.7555
1,Qwen2.5-7B-f16+0.5B-f16,0.05,0,256,9433,27.13,229,248,.9233
1,Qwen2.5-7B-f16+0.5B-f16,0.05,1,256,18628,13.74,174,269,.6468
1,Qwen2.5-7B-f16+0.5B-f16,0.05,2,256,14519,17.63,197,252,.7817
1,Qwen2.5-7B-f16+0.5B-f16,0.05,3,256,16823,15.21,181,244,.7418
1,Qwen2.5-7B-f16+0.5B-f16,0.1,0,256,9200,27.82,229,248,.9233
1,Qwen2.5-7B-f16+0.5B-f16,0.1,1,256,18523,13.82,174,269,.6468
1,Qwen2.5-7B-f16+0.5B-f16,0.1,2,256,14546,17.59,197,252,.7817
1,Qwen2.5-7B-f16+0.5B-f16,0.1,3,256,16771,15.26,181,244,.7418
1,Qwen2.5-7B-f16+0.5B-f16,0.2,0,256,9420,27.17,229,248,.9233
1,Qwen2.5-7B-f16+0.5B-f16,0.2,1,256,18578,13.77,174,269,.6468
1,Qwen2.5-7B-f16+0.5B-f16,0.2,2,256,14508,17.64,197,252,.7817
1,Qwen2.5-7B-f16+0.5B-f16,0.2,3,256,16759,15.27,181,244,.7418
1,Qwen2.5-7B-f16+0.5B-f16,0.3,0,256,9204,27.81,229,248,.9233
1,Qwen2.5-7B-f16+0.5B-f16,0.3,1,256,18454,13.87,174,269,.6468
1,Qwen2.5-7B-f16+0.5B-f16,0.3,2,256,14466,17.69,197,252,.7817
1,Qwen2.5-7B-f16+0.5B-f16,0.3,3,256,16790,15.24,181,244,.7418
