model,config,instance,threads,cpu_binding,spec,prompt_idx,tokens_generated,time_ms,tokens_per_sec
SG4-26b-MM-Q8,dmsweep_dm0,1,96,interleave,baseline,0,256,12090,21.17
SG4-26b-MM-Q8,dmsweep_dm0,1,96,interleave,baseline,1,256,12161,21.05
SG4-26b-MM-Q8,dmsweep_dm0,1,96,interleave,baseline,2,256,12186,21.01
SG4-26b-MM-Q8,dmsweep_dm16,1,96,interleave,ngram_dm16,0,256,11895,21.52
SG4-26b-MM-Q8,dmsweep_dm16,1,96,interleave,ngram_dm16,1,256,12128,21.11
SG4-26b-MM-Q8,dmsweep_dm16,1,96,interleave,ngram_dm16,2,256,12303,20.81
SG4-26b-MM-Q8,dmsweep_dm32,1,96,interleave,ngram_dm32,0,256,11943,21.44
SG4-26b-MM-Q8,dmsweep_dm32,1,96,interleave,ngram_dm32,1,256,12324,20.77
SG4-26b-MM-Q8,dmsweep_dm32,1,96,interleave,ngram_dm32,2,256,12296,20.82
SG4-26b-MM-Q8,dmsweep_dm48,1,96,interleave,ngram_dm48,0,256,12039,21.26
SG4-26b-MM-Q8,dmsweep_dm48,1,96,interleave,ngram_dm48,1,256,12308,20.8
SG4-26b-MM-Q8,dmsweep_dm48,1,96,interleave,ngram_dm48,2,256,12225,20.94
SG4-26b-MM-Q8,C_2x96t,n0,96,node0,ngram_dm16,0,256,26212,9.77
SG4-26b-MM-Q8,C_2x96t,n1,96,node1,ngram_dm16,0,256,46449,5.51
SG4-26b-MM-Q8,C_2x96t,n0,96,node0,ngram_dm16,1,256,27123,9.44
SG4-26b-MM-Q8,C_2x96t,n1,96,node1,ngram_dm16,1,256,12423,20.61
SG4-26b-MM-Q8,C_2x96t,n0,96,node0,ngram_dm16,2,256,31727,8.07
SG4-26b-MM-Q8,C_2x96t,n1,96,node1,ngram_dm16,2,256,19029,13.45
SG4-26b-MM-Q8,D_4x48t,n0a,48,n0a,ngram_dm16,0,256,22436,11.41
SG4-26b-MM-Q8,D_4x48t,n0b,48,n0b,ngram_dm16,0,256,33804,7.57
SG4-26b-MM-Q8,D_4x48t,n1a,48,n1a,ngram_dm16,0,256,35931,7.12
SG4-26b-MM-Q8,D_4x48t,n1b,48,n1b,ngram_dm16,0,256,27859,9.19
SG4-26b-MM-Q8,D_4x48t,n0a,48,n0a,ngram_dm16,1,256,28491,8.99
SG4-26b-MM-Q8,D_4x48t,n0b,48,n0b,ngram_dm16,1,256,25901,9.88
SG4-26b-MM-Q8,D_4x48t,n1a,48,n1a,ngram_dm16,1,256,38133,6.71
SG4-26b-MM-Q8,D_4x48t,n1b,48,n1b,ngram_dm16,1,256,28991,8.83
SG4-26b-MM-Q8,D_4x48t,n0a,48,n0a,ngram_dm16,2,256,21634,11.83
SG4-26b-MM-Q8,D_4x48t,n0b,48,n0b,ngram_dm16,2,256,29625,8.64
SG4-26b-MM-Q8,D_4x48t,n1a,48,n1a,ngram_dm16,2,256,38943,6.57
SG4-26b-MM-Q8,D_4x48t,n1b,48,n1b,ngram_dm16,2,256,28379,9.02
