model,config,instance,threads,cpu_binding,spec,prompt_idx,tokens_generated,time_ms,tokens_per_sec
Qwen3.6-Q8,A_1x96t_interleave,1,96,interleave,baseline,0,256,9987,25.63
Qwen3.6-Q8,A_1x96t_interleave,1,96,interleave,baseline,1,256,9996,25.61
Qwen3.6-Q8,A_1x96t_interleave,1,96,interleave,baseline,2,256,9995,25.61
Qwen3.6-Q8,B_1x96t_node0,1,96,node0,baseline,0,256,9395,27.25
Qwen3.6-Q8,B_1x96t_node0,1,96,node0,baseline,1,256,9409,27.21
Qwen3.6-Q8,B_1x96t_node0,1,96,node0,baseline,2,256,9423,27.17
Qwen3.6-Q8,C_2x96t,n0,96,node0,baseline,0,256,19822,12.91
Qwen3.6-Q8,C_2x96t,n1,96,node1,baseline,0,256,26180,9.78
Qwen3.6-Q8,C_2x96t,n0,96,node0,baseline,1,256,16182,15.82
Qwen3.6-Q8,C_2x96t,n1,96,node1,baseline,1,256,23660,10.82
Qwen3.6-Q8,C_2x96t,n0,96,node0,baseline,2,256,19921,12.85
Qwen3.6-Q8,C_2x96t,n1,96,node1,baseline,2,256,27235,9.4
Qwen3.6-Q8,D_4x48t,n0a,48,n0a,baseline,0,256,21088,12.14
Qwen3.6-Q8,D_4x48t,n0b,48,n0b,baseline,0,256,19820,12.92
Qwen3.6-Q8,D_4x48t,n1a,48,n1a,baseline,0,256,25116,10.19
Qwen3.6-Q8,D_4x48t,n1b,48,n1b,baseline,0,256,18046,14.19
Qwen3.6-Q8,D_4x48t,n0a,48,n0a,baseline,1,256,16787,15.25
Qwen3.6-Q8,D_4x48t,n0b,48,n0b,baseline,1,256,14097,18.16
Qwen3.6-Q8,D_4x48t,n1a,48,n1a,baseline,1,256,13602,18.82
Qwen3.6-Q8,D_4x48t,n1b,48,n1b,baseline,1,256,29029,8.82
Qwen3.6-Q8,D_4x48t,n0a,48,n0a,baseline,2,256,19118,13.39
Qwen3.6-Q8,D_4x48t,n0b,48,n0b,baseline,2,256,15314,16.72
Qwen3.6-Q8,D_4x48t,n1a,48,n1a,baseline,2,256,23270,11.0
Qwen3.6-Q8,D_4x48t,n1b,48,n1b,baseline,2,256,13548,18.9
Qwen3.6-Q8,E_8x24t,n0a0,24,n0a0,baseline,0,256,26306,9.73
Qwen3.6-Q8,E_8x24t,n0a1,24,n0a1,baseline,0,256,27861,9.19
Qwen3.6-Q8,E_8x24t,n0b0,24,n0b0,baseline,0,256,25664,9.98
Qwen3.6-Q8,E_8x24t,n0b1,24,n0b1,baseline,0,256,27552,9.29
Qwen3.6-Q8,E_8x24t,n1a0,24,n1a0,baseline,0,256,37104,6.9
Qwen3.6-Q8,E_8x24t,n1a1,24,n1a1,baseline,0,256,23521,10.88
Qwen3.6-Q8,E_8x24t,n1b0,24,n1b0,baseline,0,256,25312,10.11
Qwen3.6-Q8,E_8x24t,n1b1,24,n1b1,baseline,0,256,24143,10.6
Qwen3.6-Q8,E_8x24t,n0a0,24,n0a0,baseline,1,256,28939,8.85
Qwen3.6-Q8,E_8x24t,n0a1,24,n0a1,baseline,1,256,28989,8.83
Qwen3.6-Q8,E_8x24t,n0b0,24,n0b0,baseline,1,256,24827,10.31
Qwen3.6-Q8,E_8x24t,n0b1,24,n0b1,baseline,1,256,27958,9.16
Qwen3.6-Q8,E_8x24t,n1a0,24,n1a0,baseline,1,256,24693,10.37
Qwen3.6-Q8,E_8x24t,n1a1,24,n1a1,baseline,1,256,27218,9.41
Qwen3.6-Q8,E_8x24t,n1b0,24,n1b0,baseline,1,256,34066,7.51
Qwen3.6-Q8,E_8x24t,n1b1,24,n1b1,baseline,1,256,21885,11.7
Qwen3.6-Q8,E_8x24t,n0a0,24,n0a0,baseline,2,256,32486,7.88
Qwen3.6-Q8,E_8x24t,n0a1,24,n0a1,baseline,2,256,24350,10.51
Qwen3.6-Q8,E_8x24t,n0b0,24,n0b0,baseline,2,256,32390,7.9
Qwen3.6-Q8,E_8x24t,n0b1,24,n0b1,baseline,2,256,24893,10.28
Qwen3.6-Q8,E_8x24t,n1a0,24,n1a0,baseline,2,256,25645,9.98
Qwen3.6-Q8,E_8x24t,n1a1,24,n1a1,baseline,2,256,24393,10.49
Qwen3.6-Q8,E_8x24t,n1b0,24,n1b0,baseline,2,256,24589,10.41
Qwen3.6-Q8,E_8x24t,n1b1,24,n1b1,baseline,2,256,29045,8.81
