config,tps,tokens_generated,generation_sec,draft_accepted,draft_total,acceptance_rate,n_prompts
with_hsd,    prompt 1/20: accepted=131/254,,,,,,
without_hsd,    prompt 1/20: accepted=134/254,,,,,,
