model,mode,threads,draft_max,p_split,request_idx,tokens_generated,time_ms,tokens_per_sec
coder_q4km,192t,192,8,0,0,128,7354,17.41
coder_q4km,192t,192,8,0,1,128,18597,6.88
coder_q4km,192t,192,8,0,2,128,16804,7.62
coder_q4km,192t,192,8,0,3,128,16947,7.55
coder_q4km,192t,192,8,0,4,128,19255,6.65
coder_q4km,192t,192,8,0,5,128,9717,13.17
coder_q4km,192t,192,8,0,6,128,16325,7.84
coder_q4km,192t,192,8,0,7,128,12368,10.35
coder_q4km,192t,192,8,0,8,128,12567,10.19
coder_q4km,192t,192,8,0,9,128,15042,8.51
coder_q4km,192t,192,16,0,0,128,9152,13.99
coder_q4km,192t,192,16,0,1,128,16936,7.56
coder_q4km,192t,192,16,0,2,128,15971,8.01
coder_q4km,192t,192,16,0,3,128,14679,8.72
coder_q4km,192t,192,16,0,4,128,17639,7.26
coder_q4km,192t,192,16,0,5,128,7845,16.32
coder_q4km,192t,192,16,0,6,128,11984,10.68
coder_q4km,192t,192,16,0,7,128,13629,9.39
coder_q4km,192t,192,16,0,8,128,14001,9.14
coder_q4km,192t,192,16,0,9,128,18306,6.99
coder_q4km,192t,192,24,0,0,128,7185,17.81
coder_q4km,192t,192,24,0,1,128,14238,8.99
coder_q4km,192t,192,24,0,2,128,14878,8.60
coder_q4km,192t,192,24,0,3,128,13675,9.36
coder_q4km,192t,192,24,0,4,128,15088,8.48
coder_q4km,192t,192,24,0,5,128,7889,16.23
coder_q4km,192t,192,24,0,6,128,15797,8.10
coder_q4km,192t,192,24,0,7,128,18691,6.85
coder_q4km,192t,192,24,0,8,128,18041,7.09
coder_q4km,192t,192,24,0,9,128,17125,7.47
coder_q4km,192t,192,32,0,0,128,9512,13.46
coder_q4km,192t,192,32,0,1,128,15955,8.02
coder_q4km,192t,192,32,0,2,128,20527,6.24
coder_q4km,192t,192,32,0,3,128,14729,8.69
coder_q4km,192t,192,32,0,4,128,15569,8.22
coder_q4km,192t,192,32,0,5,128,8543,14.98
coder_q4km,192t,192,32,0,6,128,15715,8.15
