model,mode,threads,draft_max,p_split,request_idx,tokens_generated,wall_ms,decode_tps
coder_q4km,192t,192,8,0,0,128,8314,16.17
coder_q4km,192t,192,8,0,1,128,15978,8.50
coder_q4km,192t,192,8,0,2,128,16904,7.79
coder_q4km,192t,192,8,0,3,128,13408,9.93
coder_q4km,192t,192,8,0,4,128,13300,9.87
coder_q4km,192t,192,8,0,5,128,9727,13.43
coder_q4km,192t,192,8,0,6,128,15739,8.29
coder_q4km,192t,192,8,0,7,128,16203,8.04
coder_q4km,192t,192,8,0,8,128,13040,10.02
coder_q4km,192t,192,8,0,9,128,13691,9.48
coder_q4km,192t,192,16,0,0,128,7259,18.69
coder_q4km,192t,192,16,0,1,128,17727,7.50
coder_q4km,192t,192,16,0,2,128,15592,8.58
coder_q4km,192t,192,16,0,3,128,15890,8.43
coder_q4km,192t,192,16,0,4,128,14095,9.31
coder_q4km,192t,192,16,0,5,128,8364,15.79
coder_q4km,192t,192,16,0,6,128,16782,7.72
coder_q4km,192t,192,16,0,7,128,14071,9.30
coder_q4km,192t,192,16,0,8,128,11360,11.47
coder_q4km,192t,192,16,0,9,128,11645,11.14
coder_q4km,192t,192,24,0,0,128,7926,17.34
coder_q4km,192t,192,24,0,1,128,19552,6.67
coder_q4km,192t,192,24,0,2,128,14941,8.84
coder_q4km,192t,192,24,0,3,128,14733,8.91
coder_q4km,192t,192,24,0,4,128,16510,8.01
coder_q4km,192t,192,24,0,5,128,10528,12.52
coder_q4km,192t,192,24,0,6,128,15566,8.38
coder_q4km,192t,192,24,0,7,128,11871,10.94
coder_q4km,192t,192,24,0,8,128,10992,11.91
coder_q4km,192t,192,24,0,9,128,13296,9.82
coder_q4km,192t,192,32,0,0,128,10060,13.42
coder_q4km,192t,192,32,0,1,128,15163,8.83
coder_q4km,192t,192,32,0,2,128,19647,6.73
coder_q4km,192t,192,32,0,3,128,12541,10.50
coder_q4km,192t,192,32,0,4,128,14194,9.26
coder_q4km,192t,192,32,0,5,128,8192,16.21
coder_q4km,192t,192,32,0,6,128,12602,10.40
coder_q4km,192t,192,32,0,7,128,10553,12.29
coder_q4km,192t,192,32,0,8,128,11513,11.40
coder_q4km,192t,192,32,0,9,128,12461,10.51
coder_q4km,192t,192,48,0,0,128,11083,12.22
coder_q4km,192t,192,48,0,1,128,16776,8.00
coder_q4km,192t,192,48,0,2,128,14011,9.37
coder_q4km,192t,192,48,0,3,128,14649,9.07
coder_q4km,192t,192,48,0,4,128,17345,7.59
coder_q4km,192t,192,48,0,5,128,11150,11.79
