model,mode,threads,draft_max,p_split,request_idx,tokens_generated,wall_ms,decode_tps
arch_122b,192t,192,8,default,0,128,45181,2.90
arch_122b,192t,192,8,default,1,128,46955,2.79
arch_122b,192t,192,8,default,2,128,54236,2.39
arch_122b,192t,192,8,default,3,128,34805,3.79
arch_122b,192t,192,8,default,4,128,31402,4.21
arch_122b,192t,192,8,default,5,128,47848,2.71
arch_122b,192t,192,8,default,6,128,46527,2.81
arch_122b,192t,192,8,default,7,128,54126,2.40
arch_122b,192t,192,8,default,8,128,34967,3.77
arch_122b,192t,192,8,default,9,128,31458,4.20
arch_122b,192t,192,16,default,0,128,17831,7.63
arch_122b,192t,192,16,default,1,128,94175,1.37
arch_122b,192t,192,16,default,2,128,50564,2.56
arch_122b,192t,192,16,default,3,128,26152,5.11
arch_122b,192t,192,16,default,4,128,45199,2.90
arch_122b,192t,192,16,default,5,128,50177,2.61
arch_122b,192t,192,16,default,6,128,94161,1.37
arch_122b,192t,192,16,default,7,128,50491,2.57
arch_122b,192t,192,16,default,8,128,26036,5.12
arch_122b,192t,192,16,default,9,128,44833,2.92
arch_122b,192t,192,24,default,0,128,39927,3.26
arch_122b,192t,192,24,default,1,128,109929,1.17
arch_122b,192t,192,24,default,2,128,50579,2.56
arch_122b,192t,192,24,default,3,128,25599,5.22
arch_122b,192t,192,24,default,4,128,45154,2.90
arch_122b,192t,192,24,default,5,128,38908,3.34
arch_122b,192t,192,24,default,6,128,109494,1.18
arch_122b,192t,192,24,default,7,128,50589,2.56
arch_122b,192t,192,24,default,8,128,25755,5.18
arch_122b,192t,192,24,default,9,128,45336,2.89
arch_122b,192t,192,32,default,0,128,40391,3.26
arch_122b,192t,192,32,default,1,128,125073,1.03
arch_122b,192t,192,32,default,2,128,49116,2.64
arch_122b,192t,192,32,default,3,128,24119,5.56
arch_122b,192t,192,32,default,4,128,53827,2.41
arch_122b,192t,192,32,default,5,128,48671,2.69
arch_122b,192t,192,32,default,6,128,124167,1.04
arch_122b,192t,192,32,default,7,128,48691,2.66
arch_122b,192t,192,32,default,8,128,23678,5.65
arch_122b,192t,192,32,default,9,128,53094,2.44
arch_122b,192t,192,48,default,0,128,36190,3.62
arch_122b,192t,192,48,default,1,128,159124,0.81
arch_122b,192t,192,48,default,2,128,49674,2.61
arch_122b,192t,192,48,default,3,128,23467,5.75
arch_122b,192t,192,48,default,4,128,52511,2.47
arch_122b,192t,192,48,default,5,128,48622,2.68
arch_122b,192t,192,48,default,6,128,159776,0.80
arch_122b,192t,192,48,default,7,128,49664,2.61
arch_122b,192t,192,48,default,8,128,23546,5.72
arch_122b,192t,192,48,default,9,128,52877,2.45
arch_122b,192t,192,16,0,0,128,32244,4.05
arch_122b,192t,192,16,0,1,128,22962,5.84
arch_122b,192t,192,16,0,2,128,31037,4.26
arch_122b,192t,192,16,0,3,128,31702,4.12
arch_122b,192t,192,16,0,4,128,31268,4.17
arch_122b,192t,192,16,0,5,128,29736,4.42
arch_122b,192t,192,16,0,6,128,23063,5.82
arch_122b,192t,192,16,0,7,128,31266,4.22
arch_122b,192t,192,16,0,8,128,31645,4.12
arch_122b,192t,192,16,0,9,128,30865,4.23
