model,mode,threads,draft_max,p_split,request_idx,tokens_generated,wall_ms,decode_tps
coder_q4km,192t,192,8,0,0,128,6597,20.40
coder_q4km,192t,192,8,0,1,128,12232,10.79
coder_q4km,192t,192,8,0,2,128,11048,12.03
coder_q4km,192t,192,8,0,3,128,15295,8.54
coder_q4km,192t,192,8,0,4,128,13966,9.46
coder_q4km,192t,192,8,0,5,128,7305,18.02
coder_q4km,192t,192,8,0,6,128,13473,9.64
coder_q4km,192t,192,8,0,7,128,13105,10.00
coder_q4km,192t,192,8,0,8,128,12531,10.48
coder_q4km,192t,192,8,0,9,128,15553,8.31
coder_q4km,192t,192,16,0,0,128,7575,17.65
coder_q4km,192t,192,16,0,1,128,16051,8.31
coder_q4km,192t,192,16,0,2,128,18349,7.17
coder_q4km,192t,192,16,0,3,128,16396,8.06
coder_q4km,192t,192,16,0,4,128,16248,8.13
coder_q4km,192t,192,16,0,5,128,8354,15.76
coder_q4km,192t,192,16,0,6,128,13754,9.50
coder_q4km,192t,192,16,0,7,128,11685,11.20
coder_q4km,192t,192,16,0,8,128,16047,8.05
coder_q4km,192t,192,16,0,9,128,15108,8.62
coder_q4km,192t,192,24,0,0,128,6660,20.36
coder_q4km,192t,192,24,0,1,128,14640,8.99
coder_q4km,192t,192,24,0,2,128,16138,8.15
coder_q4km,192t,192,24,0,3,128,15697,8.48
coder_q4km,192t,192,24,0,4,128,14667,9.03
coder_q4km,192t,192,24,0,5,128,8376,15.60
coder_q4km,192t,192,24,0,6,128,11045,11.83
coder_q4km,192t,192,24,0,7,128,10979,11.82
coder_q4km,192t,192,24,0,8,128,13143,9.97
coder_q4km,192t,192,24,0,9,128,13790,9.48
coder_q4km,192t,192,32,0,0,128,7478,17.84
coder_q4km,192t,192,32,0,1,128,10788,17.84
coder_q4km,192t,192,32,0,2,128,4,17.84
coder_q4km,192t,192,32,0,3,128,5,17.84
coder_q4km,192t,192,32,0,4,128,5,17.84
coder_q4km,192t,192,32,0,5,128,5,17.84
coder_q4km,192t,192,32,0,6,128,4,17.84
coder_q4km,192t,192,32,0,7,128,4,17.84
coder_q4km,192t,192,32,0,8,128,4,17.84
coder_q4km,192t,192,32,0,9,128,5,17.84
