model,mode,threads,draft_max,p_split,request_idx,tokens_generated,time_ms,tokens_per_sec
coder_q4km,192t,192,8,0,0,128,12977,9.86
coder_q4km,192t,192,8,0,1,128,20832,6.14
coder_q4km,192t,192,8,0,2,128,22515,5.69
coder_q4km,192t,192,8,0,3,128,17651,7.25
coder_q4km,192t,192,8,0,4,128,22609,5.66
coder_q4km,192t,192,8,0,5,128,12599,10.16
coder_q4km,192t,192,8,0,6,128,19981,6.41
coder_q4km,192t,192,8,0,7,128,19516,6.56
coder_q4km,192t,192,8,0,8,128,22168,5.77
coder_q4km,192t,192,8,0,9,128,22517,5.68
coder_q4km,192t,192,16,0,0,128,9040,14.16
coder_q4km,192t,192,16,0,1,128,18443,6.94
coder_q4km,192t,192,16,0,2,128,20514,6.24
coder_q4km,192t,192,16,0,3,128,16982,7.54
coder_q4km,192t,192,16,0,4,128,15466,8.28
coder_q4km,192t,192,16,0,5,128,9223,13.88
coder_q4km,192t,192,16,0,6,128,15394,8.31
coder_q4km,192t,192,16,0,7,128,17854,7.17
coder_q4km,192t,192,16,0,8,128,17617,7.27
coder_q4km,192t,192,16,0,9,128,18333,6.98
coder_q4km,192t,192,24,0,0,128,9736,13.15
coder_q4km,192t,192,24,0,1,128,22437,5.70
coder_q4km,192t,192,24,0,2,128,22048,5.81
coder_q4km,192t,192,24,0,3,128,20904,6.12
coder_q4km,192t,192,24,0,4,128,20991,6.10
coder_q4km,192t,192,24,0,5,128,8567,14.94
coder_q4km,192t,192,24,0,6,128,15975,8.01
coder_q4km,192t,192,24,0,7,128,15585,8.21
coder_q4km,192t,192,24,0,8,128,18328,6.98
coder_q4km,192t,192,24,0,9,128,17699,7.23
coder_q4km,192t,192,32,0,0,128,10210,12.54
coder_q4km,192t,192,32,0,1,128,18250,7.01
coder_q4km,192t,192,32,0,2,128,20844,6.14
coder_q4km,192t,192,32,0,3,128,17964,7.13
coder_q4km,192t,192,32,0,4,128,16111,7.94
coder_q4km,192t,192,32,0,5,128,8185,15.64
coder_q4km,192t,192,32,0,6,128,19298,6.63
coder_q4km,192t,192,32,0,7,128,15944,8.03
coder_q4km,192t,192,32,0,8,128,15568,8.22
coder_q4km,192t,192,32,0,9,128,17825,7.18
coder_q4km,192t,192,48,0,0,128,12799,10.00
coder_q4km,192t,192,48,0,1,128,19196,6.67
coder_q4km,192t,192,48,0,2,0,3945,0.00
coder_q4km,192t,192,48,0,3,0,21,0.00
coder_q4km,192t,192,48,0,4,0,20,0.00
coder_q4km,192t,192,48,0,5,0,18,0.00
coder_q4km,192t,192,48,0,6,0,19,0.00
coder_q4km,192t,192,48,0,7,0,20,0.00
coder_q4km,192t,192,48,0,8,0,19,0.00
coder_q4km,192t,192,48,0,9,0,19,0.00
