model,mode,threads,draft_max,p_split,request_idx,tokens_generated,wall_ms,decode_tps
coder_q4km,192t,192,8,default,0,128,5657,23.50
coder_q4km,192t,192,8,default,1,128,8854,14.87
coder_q4km,192t,192,8,default,2,128,8386,15.68
coder_q4km,192t,192,8,default,3,128,7248,18.20
coder_q4km,192t,192,8,default,4,128,7089,18.59
coder_q4km,192t,192,8,default,5,128,5834,22.79
coder_q4km,192t,192,8,default,6,128,8901,14.79
coder_q4km,192t,192,8,default,7,128,8631,15.21
coder_q4km,192t,192,8,default,8,128,7413,17.75
coder_q4km,192t,192,8,default,9,128,7159,18.38
coder_q4km,192t,192,16,default,0,128,5175,25.81
coder_q4km,192t,192,16,default,1,128,9004,14.61
coder_q4km,192t,192,16,default,2,128,7307,18.06
coder_q4km,192t,192,16,default,3,128,7129,18.51
coder_q4km,192t,192,16,default,4,128,7274,18.10
coder_q4km,192t,192,16,default,5,128,5063,26.47
coder_q4km,192t,192,16,default,6,128,8855,14.84
coder_q4km,192t,192,16,default,7,128,7445,17.70
coder_q4km,192t,192,16,default,8,128,7220,18.24
coder_q4km,192t,192,16,default,9,128,7382,17.81
coder_q4km,192t,192,24,default,0,128,5363,24.85
coder_q4km,192t,192,24,default,1,128,9068,14.53
coder_q4km,192t,192,24,default,2,128,7408,17.85
coder_q4km,192t,192,24,default,3,128,7329,18.00
coder_q4km,192t,192,24,default,4,128,7489,17.58
coder_q4km,192t,192,24,default,5,128,5284,25.28
coder_q4km,192t,192,24,default,6,128,9054,14.53
coder_q4km,192t,192,24,default,7,128,7268,18.17
coder_q4km,192t,192,24,default,8,128,7290,18.06
coder_q4km,192t,192,24,default,9,128,7399,17.77
coder_q4km,192t,192,32,default,0,128,5313,25.11
coder_q4km,192t,192,32,default,1,128,9119,14.44
coder_q4km,192t,192,32,default,2,128,7675,17.19
coder_q4km,192t,192,32,default,3,128,7320,18.02
coder_q4km,192t,192,32,default,4,128,7538,17.46
coder_q4km,192t,192,32,default,5,128,5291,25.28
coder_q4km,192t,192,32,default,6,128,8946,14.69
coder_q4km,192t,192,32,default,7,128,7404,17.80
coder_q4km,192t,192,32,default,8,128,7185,18.34
coder_q4km,192t,192,32,default,9,128,7383,17.82
coder_q4km,192t,192,48,default,0,128,5516,24.15
coder_q4km,192t,192,48,default,1,128,8946,14.74
coder_q4km,192t,192,48,default,2,128,7215,18.31
coder_q4km,192t,192,48,default,3,128,7083,18.62
coder_q4km,192t,192,48,default,4,128,7299,18.04
coder_q4km,192t,192,48,default,5,128,5352,24.94
coder_q4km,192t,192,48,default,6,128,8939,14.70
