config,instance,threads,prompt_idx,tokens_generated,time_ms,tokens_per_sec
A_1x96t,node0,96,0,256,23670,10.82
A_1x96t,node0,96,1,256,40838,6.27
A_1x96t,node0,96,2,256,35536,7.20
