case	status	exit_code	out_dir	stdout	stderr
qwen3_4b_thinking_cpu_v7	PASS	0	/mnt/raid0/llm/tmp/cpu-inference-churn-20260716b/qwen3_4b_thinking_cpu_v7	/mnt/raid0/llm/tmp/cpu-inference-churn-20260716b/qwen3_4b_thinking_cpu_v7/qwen3_4b_thinking_cpu_v7.stdout	/mnt/raid0/llm/tmp/cpu-inference-churn-20260716b/qwen3_4b_thinking_cpu_v7/qwen3_4b_thinking_cpu_v7.stderr
qwen25_coder14_cpu_v7	PASS	0	/mnt/raid0/llm/tmp/cpu-inference-churn-20260716b/qwen25_coder14_cpu_v7	/mnt/raid0/llm/tmp/cpu-inference-churn-20260716b/qwen25_coder14_cpu_v7/qwen25_coder14_cpu_v7.stdout	/mnt/raid0/llm/tmp/cpu-inference-churn-20260716b/qwen25_coder14_cpu_v7/qwen25_coder14_cpu_v7.stderr
qwen35_9b_mtp_cpu_v7	PASS	0	/mnt/raid0/llm/tmp/cpu-inference-churn-20260716b/qwen35_9b_mtp_cpu_v7	/mnt/raid0/llm/tmp/cpu-inference-churn-20260716b/qwen35_9b_mtp_cpu_v7/qwen35_9b_mtp_cpu_v7.stdout	/mnt/raid0/llm/tmp/cpu-inference-churn-20260716b/qwen35_9b_mtp_cpu_v7/qwen35_9b_mtp_cpu_v7.stderr
minicpm_q4_cpu_text_v7	PASS	0	/mnt/raid0/llm/tmp/cpu-inference-churn-20260716b/minicpm_q4_cpu_text_v7	/mnt/raid0/llm/tmp/cpu-inference-churn-20260716b/minicpm_q4_cpu_text_v7/minicpm_q4_cpu_text_v7.stdout	/mnt/raid0/llm/tmp/cpu-inference-churn-20260716b/minicpm_q4_cpu_text_v7/minicpm_q4_cpu_text_v7.stderr
qwen3_vl8_cpu_text_v7	PASS	0	/mnt/raid0/llm/tmp/cpu-inference-churn-20260716b/qwen3_vl8_cpu_text_v7	/mnt/raid0/llm/tmp/cpu-inference-churn-20260716b/qwen3_vl8_cpu_text_v7/qwen3_vl8_cpu_text_v7.stdout	/mnt/raid0/llm/tmp/cpu-inference-churn-20260716b/qwen3_vl8_cpu_text_v7/qwen3_vl8_cpu_text_v7.stderr
