alpha,n,success_rate,average_precision,roc_auc,top_10_success_rate,spearman
0.0,110,0.836364,0.940463,0.743056,1,0.338598
0.25,110,0.836364,0.938137,0.749094,1,0.342379
0.5,110,0.836364,0.938014,0.750906,1,0.344869
0.75,110,0.836364,0.9365,0.742452,1,0.333248
1.0,110,0.836364,0.889148,0.53442,1,0.08169
