config,threads,cpu_binding,context_size,prompt_tokens,predicted_tokens,prompt_ms,predicted_ms,prompt_tps,predicted_tps,total_ms
A,192,all,short,19,64,248.3,4979.4,76.53,12.85,5227.7
A,192,all,4K,5665,64,32470.2,7601.2,174.47,8.42,40071.3
A,192,all,8K,6152,64,41571.8,5301.7,147.98,12.07,46873.5
B,96,0-47,96-143,short,19,64,648.3,5141.5,29.31,12.45,5789.8
B,96,0-47,96-143,4K,512,64,3075.9,5024.1,166.46,12.74,8100.0
B,96,0-47,96-143,8K,6152,64,44927.1,5272.9,136.93,12.14,50200.0
C_node0,96,0-47,96-143,short,0,0,0.0,0.0,0.00,0.00,0.0
C_node1,96,48-95,144-191,short,0,0,0.0,0.0,0.00,0.00,0.0
C_node0,96,0-47,96-143,4K,0,0,0.0,0.0,0.00,0.00,0.0
C_node1,96,48-95,144-191,4K,0,0,0.0,0.0,0.00,0.00,0.0
C_node0,96,0-47,96-143,8K,512,64,3562.7,5327.4,143.71,12.01,8890.1
C_node1,96,48-95,144-191,8K,11305,64,69411.5,5212.5,162.87,12.28,74624.0
