timestamp,protocol_id,cell_id,model_key,quant,config_id,np,n_instances,total_streams,success_count,total_count,error_rate,wall_seconds,tasks_per_hour_raw,tasks_per_hour_trimmed,aggregate_predicted_tps,p50_latency_ms,p95_latency_ms,ttft_p50_ms,ttft_p95_ms,draft_accept_rate,kv_unified,ggml_iqk,live_affinity_verified,decision_grade,cell_error
2026-07-23T22:13:28.641665+00:00,P-BENCH-3,qwen3_next_80b-C1-np1-scout,qwen3_next_80b,Q4_K_M,C1,1,1,1,43,43,0.0,133.1978880839888,1162.1805887972478,1175.316536580055,9.542193335667324,1544.3318542093039,6315.104531124234,1103.235011920333,1918.7601539306343,,False,1,True,False,
2026-07-23T22:15:12.101724+00:00,P-BENCH-3,qwen3_next_80b-C1-np16-scout,qwen3_next_80b,Q4_K_M,C1,16,1,16,43,43,0.0,91.05665608285926,1700.0404655661405,929.899331458709,13.95834258226463,17492.81266401522,67371.67067010887,8819.72340401262,17053.506872151047,,False,1,True,False,
2026-07-23T22:17:10.433310+00:00,P-BENCH-3,qwen3_next_80b-C1-np2-scout,qwen3_next_80b,Q4_K_M,C1,2,1,2,43,43,0.0,107.92432157485746,1434.3384117789342,1449.1545807837606,11.925022842115556,2148.33186683245,11207.920531043783,1425.7277068682015,2346.3553031906486,,False,1,True,False,
2026-07-23T22:19:02.396534+00:00,P-BENCH-3,qwen3_next_80b-C1-np32-scout,qwen3_next_80b,Q4_K_M,C1,32,1,32,43,43,0.0,99.47546935314313,1556.1625494869684,0.0,12.79712484171131,51212.054481962696,99004.19291504659,18243.926044087857,31222.712451126426,,False,1,True,False,
2026-07-23T22:20:52.749049+00:00,P-BENCH-3,qwen3_next_80b-C1-np4-scout,qwen3_next_80b,Q4_K_M,C1,4,1,4,43,43,0.0,99.88731397804804,1549.746347509354,1421.434019784885,12.894530333281963,4013.199676061049,19908.96340389736,1688.8392148539424,3933.0656009260565,,False,1,True,False,
2026-07-23T22:22:35.887293+00:00,P-BENCH-3,qwen3_next_80b-C1-np8-scout,qwen3_next_80b,Q4_K_M,C1,8,1,8,43,43,0.0,92.72622528998181,1669.4306224144839,1318.377582122822,13.890352982363407,7889.8598158266395,36960.44045500457,3226.981589803472,7660.7226938940585,,False,1,True,False,
2026-07-23T22:24:46.893826+00:00,P-BENCH-3,qwen3_next_80b-C1b-np1-scout,qwen3_next_80b,Q4_K_M,C1b,1,2,2,43,43,0.0,112.45753509015776,1376.5195891577748,1370.1630944160138,11.302043913562866,2290.7129619270563,15577.999802073464,1513.3959520608187,2887.5914548989385,,False,1,True,False,
2026-07-23T22:26:31.444342+00:00,P-BENCH-3,qwen3_next_80b-C1b-np16-scout,qwen3_next_80b,Q4_K_M,C1b,16,2,32,43,43,0.0,81.2761850641109,1904.6169536364594,0.0,15.847200492789144,43770.749719114974,81234.08149997704,21484.62744290009,23631.68195192702,,False,1,True,False,
2026-07-23T22:28:26.793626+00:00,P-BENCH-3,qwen3_next_80b-C1b-np2-scout,qwen3_next_80b,Q4_K_M,C1b,2,2,4,43,43,0.0,93.28382286103442,1659.4517168384778,1495.5236468145392,13.807324362325318,4443.887992063537,21428.128679050133,2056.7639749497175,3929.0011648554355,,False,1,True,False,
2026-07-23T22:30:10.652699+00:00,P-BENCH-3,qwen3_next_80b-C1b-np4-scout,qwen3_next_80b,Q4_K_M,C1b,4,2,8,43,43,0.0,82.0769888178911,1886.034103218182,1546.7398505956721,15.485460886242308,7996.432702988386,35662.12130803615,3280.6767739821225,5616.69759079814,,False,1,True,False,
2026-07-23T22:31:49.953588+00:00,P-BENCH-3,qwen3_next_80b-C1b-np8-scout,qwen3_next_80b,Q4_K_M,C1b,8,2,16,43,43,0.0,76.88383830920793,2013.4270531269833,1198.1868216894177,16.75254550663795,14792.53525310196,73171.85679683462,10502.814759034663,14275.268821977079,,False,1,True,False,
2026-07-23T22:33:50.268748+00:00,P-BENCH-3,qwen3_next_80b-C3-np1-scout,qwen3_next_80b,Q4_K_M,C3,1,4,4,43,43,0.0,81.60822297702543,1896.8676728027726,1795.2696189475237,15.574410931087366,4624.309421982616,17485.90520210564,2305.713434005156,4892.545307986438,,False,1,True,False,
2026-07-23T22:35:39.678494+00:00,P-BENCH-3,qwen3_next_80b-C3-np2-scout,qwen3_next_80b,Q4_K_M,C3,2,4,8,43,43,0.0,68.05351954791695,2274.6802961602048,1873.4339322913704,18.911586183192398,7511.930488981307,22696.103415917605,3259.614944923669,7068.2876240462065,,False,1,True,False,
2026-07-23T22:37:19.924788+00:00,P-BENCH-3,qwen3_next_80b-C3-np4-scout,qwen3_next_80b,Q4_K_M,C3,4,4,16,43,43,0.0,61.426377521129325,2520.0900044407176,1627.6938404995624,20.951911083431547,13334.6578378696,53936.23527418822,5964.135678950697,11255.150140961632,,False,1,True,False,
2026-07-23T22:39:02.907603+00:00,P-BENCH-3,qwen3_next_80b-C3-np8-scout,qwen3_next_80b,Q4_K_M,C3,8,4,32,43,43,0.0,64.88727053394541,2385.6759380719714,0.0,19.526171922074855,29670.826884917915,62328.75909493305,16440.49088587053,19973.899784032255,,False,1,True,False,
