elapsed_s	gpu_use_pct	vram_alloc_pct	stdout_bytes
0	0	0	59
15	100	60	59
31	100	60	59
47	100	60	59
63	100	60	59
79	100	59	1124
95	100	59	1124
111	100	59	1124
127	100	59	1124
143	100	59	1124
