model,kv_config,ctk,ctv,context_length,test_type,tokens_generated,prompt_tokens,time_ms,tokens_per_sec,prompt_tps,rss_mb,server_kv_size_mb
q35-35B-A3B,f16_f16,f16,f16,16384,generation,256,42,17508,14.86,149.21,37408.5,320.00
q35-35B-A3B,f16_f16,f16,f16,16384,prefill,32,9779,51243,13.56,200.04,38002.0,320.00
q35-35B-A3B,f16_f16,f16,f16,16384,generation_rep2,256,42,18931,13.75,137.08,38256.6,320.00
q35-35B-A3B,f16_f16,f16,f16,16384,generation_rep3,256,42,18268,14.25,140.57,38256.7,320.00
q35-35B-A3B,q8_q8,q8_0,q8_0,16384,generation,256,42,18675,13.92,148.40,37256.6,170.00
q35-35B-A3B,q8_q8,q8_0,q8_0,16384,prefill,32,9779,56905,13.26,179.46,37833.2,170.00
q35-35B-A3B,q8_q8,q8_0,q8_0,16384,generation_rep2,256,42,17284,15.08,136.05,37998.0,170.00
q35-35B-A3B,q8_q8,q8_0,q8_0,16384,generation_rep3,256,42,17443,14.94,134.64,37998.1,170.00
q35-35B-A3B,q8_q4,q8_0,q4_0,16384,generation,256,42,17067,15.25,152.24,37216.5,130.00
q35-35B-A3B,q8_q4,q8_0,q4_0,16384,prefill,32,9779,56756,13.21,179.98,37792.4,130.00
q35-35B-A3B,q8_q4,q8_0,q4_0,16384,generation_rep2,256,42,17572,14.83,136.39,37933.2,130.00
q35-35B-A3B,q8_q4,q8_0,q4_0,16384,generation_rep3,256,42,17391,14.98,139.56,37933.3,130.00
q35-35B-A3B,q4_q4,q4_0,q4_0,16384,generation,256,42,16413,15.86,153.85,37176.7,90.00
q35-35B-A3B,q4_q4,q4_0,q4_0,16384,prefill,32,9779,55473,13.83,183.95,37751.8,90.00
q35-35B-A3B,q4_q4,q4_0,q4_0,16384,generation_rep2,256,42,17097,15.24,139.01,37868.7,90.00
q35-35B-A3B,q4_q4,q4_0,q4_0,16384,generation_rep3,256,42,16933,15.39,139.43,37868.8,90.00
