model,kv_config,ctk,ctv,context_length,test_type,tokens_generated,prompt_tokens,time_ms,tokens_per_sec,prompt_tps,rss_mb,server_kv_size_mb
q35-35B-A3B,f16_f16,f16,f16,4096,generation,256,42,17362,14.99,148.57,37168.4,80.00
q35-35B-A3B,f16_f16,f16,f16,4096,prefill,32,2464,14338,14.91,202.09,37699.0,80.00
q35-35B-A3B,f16_f16,f16,f16,4096,generation_rep2,256,42,17456,14.93,133.64,37810.6,80.00
q35-35B-A3B,f16_f16,f16,f16,4096,generation_rep3,256,42,17437,14.94,138.39,37810.7,80.00
q35-35B-A3B,q8_q8,q8_0,q8_0,4096,generation,256,42,18444,14.09,150.43,37129.3,42.50
q35-35B-A3B,q8_q8,q8_0,q8_0,4096,prefill,32,2464,14079,14.89,206.53,37642.2,42.50
q35-35B-A3B,q8_q8,q8_0,q8_0,4096,generation_rep2,256,42,17185,15.16,138.03,37731.0,42.50
q35-35B-A3B,q8_q8,q8_0,q8_0,4096,generation_rep3,256,42,17413,14.96,138.58,37731.1,42.50
q35-35B-A3B,q8_q4,q8_0,q4_0,4096,generation,256,42,19153,13.56,151.10,37119.1,32.50
q35-35B-A3B,q8_q4,q8_0,q4_0,4096,prefill,32,2464,14026,14.75,207.79,37631.3,32.50
q35-35B-A3B,q8_q4,q8_0,q4_0,4096,generation_rep2,256,42,17569,14.83,138.00,37714.0,32.50
q35-35B-A3B,q8_q4,q8_0,q4_0,4096,generation_rep3,256,42,17436,14.92,149.02,37714.1,32.50
q35-35B-A3B,q4_q4,q4_0,q4_0,4096,generation,256,42,17430,14.93,150.26,37109.2,22.50
q35-35B-A3B,q4_q4,q4_0,q4_0,4096,prefill,32,2464,14292,13.57,206.45,37620.6,22.50
q35-35B-A3B,q4_q4,q4_0,q4_0,4096,generation_rep2,256,42,17951,14.51,136.60,37697.3,22.50
q35-35B-A3B,q4_q4,q4_0,q4_0,4096,generation_rep3,256,42,17721,14.69,140.58,37697.4,22.50
q35-35B-A3B,f16_f16,f16,f16,16384,generation,256,42,18095,14.37,146.99,37408.4,320.00
q35-35B-A3B,f16_f16,f16,f16,16384,prefill,32,9779,50050,14.42,204.44,38002.0,320.00
q35-35B-A3B,f16_f16,f16,f16,16384,generation_rep2,256,42,17734,14.69,134.51,38256.6,320.00
q35-35B-A3B,f16_f16,f16,f16,16384,generation_rep3,256,42,17495,14.89,137.46,38256.7,320.00
q35-35B-A3B,q8_q8,q8_0,q8_0,16384,generation,256,42,19410,13.38,152.13,37256.7,170.00
q35-35B-A3B,q8_q8,q8_0,q8_0,16384,prefill,32,9779,55380,13.02,184.78,37833.3,170.00
q35-35B-A3B,q8_q8,q8_0,q8_0,16384,generation_rep2,256,42,18513,14.06,138.22,37998.1,170.00
q35-35B-A3B,q8_q8,q8_0,q8_0,16384,generation_rep3,256,42,18065,14.41,139.30,37998.2,170.00
q35-35B-A3B,q8_q4,q8_0,q4_0,16384,generation,256,42,17173,15.16,149.21,37216.6,130.00
q35-35B-A3B,q8_q4,q8_0,q4_0,16384,prefill,32,9779,56096,13.55,181.98,37792.5,130.00
q35-35B-A3B,q8_q4,q8_0,q4_0,16384,generation_rep2,256,42,17328,15.04,136.33,37933.3,130.00
q35-35B-A3B,q8_q4,q8_0,q4_0,16384,generation_rep3,256,42,17259,15.10,137.94,37933.4,130.00
q35-35B-A3B,q4_q4,q4_0,q4_0,16384,generation,256,42,18596,13.99,141.21,37178.3,90.00
q35-35B-A3B,q4_q4,q4_0,q4_0,16384,prefill,32,9779,63172,14.91,160.25,37178.3,90.00
q35-35B-A3B,q4_q4,q4_0,q4_0,16384,generation_rep2,256,42,21768,12.49,33.17,37178.5,90.00
q35-35B-A3B,q4_q4,q4_0,q4_0,16384,generation_rep3,256,42,33489,7.88,41.30,37178.6,90.00
