model,kv_config,ctk,ctv,context_length,test_type,tokens_generated,prompt_tokens,time_ms,tokens_per_sec,prompt_tps,rss_mb,server_kv_size_mb
q35-35B-A3B,f16_f16,f16,f16,65536,generation,256,42,18582,13.99,148.96,38368.2,1280.00
q35-35B-A3B,f16_f16,f16,f16,65536,prefill,0,0,0,0.00,0.00,38368.2,1280.00
q35-35B-A3B,f16_f16,f16,f16,65536,generation_rep2,256,42,17370,14.98,150.42,38436.9,1280.00
q35-35B-A3B,f16_f16,f16,f16,65536,generation_rep3,256,42,17339,15.02,140.28,38437.0,1280.00
q35-35B-A3B,q8_q8,q8_0,q8_0,65536,generation,256,42,18700,13.90,149.25,37766.6,680.00
q35-35B-A3B,q8_q8,q8_0,q8_0,65536,prefill,0,0,0,0.00,0.00,37766.6,680.00
q35-35B-A3B,q8_q8,q8_0,q8_0,65536,generation_rep2,256,42,17456,14.93,137.98,37832.6,680.00
q35-35B-A3B,q8_q8,q8_0,q8_0,65536,generation_rep3,256,42,18623,13.98,136.84,37832.7,680.00
q35-35B-A3B,q8_q4,q8_0,q4_0,65536,generation,256,42,18657,13.93,149.88,37606.8,520.00
q35-35B-A3B,q8_q4,q8_0,q4_0,65536,prefill,0,0,0,0.00,0.00,37606.8,520.00
q35-35B-A3B,q8_q4,q8_0,q4_0,65536,generation_rep2,256,42,17150,15.19,139.69,37672.0,520.00
q35-35B-A3B,q8_q4,q8_0,q4_0,65536,generation_rep3,256,42,17231,15.12,138.68,37672.1,520.00
q35-35B-A3B,q4_q4,q4_0,q4_0,65536,generation,256,42,17145,15.18,151.79,37446.6,360.00
q35-35B-A3B,q4_q4,q4_0,q4_0,65536,prefill,0,0,0,0.00,0.00,37446.6,360.00
q35-35B-A3B,q4_q4,q4_0,q4_0,65536,generation_rep2,256,42,17797,14.63,137.92,37511.1,360.00
q35-35B-A3B,q4_q4,q4_0,q4_0,65536,generation_rep3,256,42,17421,14.95,138.73,37511.2,360.00
