model,kv_config,ctk,ctv,context_length,test_type,tokens_generated,prompt_tokens,time_ms,tokens_per_sec,prompt_tps,rss_mb,server_kv_size_mb
q25-coder-32B,f16_f16,f16,f16,4096,generation,256,61,30032,8.63,104.60,34204.6,1024.00
q25-coder-32B,f16_f16,f16,f16,4096,prefill,32,2482,23133,8.25,127.64,35123.5,1024.00
q25-coder-32B,f16_f16,f16,f16,4096,generation_rep2,256,61,30161,8.59,107.13,35751.9,1024.00
q25-coder-32B,f16_f16,f16,f16,4096,generation_rep3,256,61,30017,8.56,8.50,35751.9,1024.00
q25-coder-32B,q8_q8,q8_0,q8_0,4096,generation,256,61,30347,8.54,101.89,33724.1,544.00
q25-coder-32B,q8_q8,q8_0,q8_0,4096,prefill,32,2482,36591,6.80,77.08,34606.9,544.00
q25-coder-32B,q8_q8,q8_0,q8_0,4096,generation_rep2,256,61,30522,8.48,107.38,34940.8,544.00
q25-coder-32B,q8_q8,q8_0,q8_0,4096,generation_rep3,256,61,30102,8.54,8.48,34940.9,544.00
q25-coder-32B,q8_q4,q8_0,q4_0,4096,generation,256,61,29622,8.74,106.41,33596.1,416.00
q25-coder-32B,q8_q4,q8_0,q4_0,4096,prefill,32,2482,31117,6.90,92.82,34469.0,416.00
q25-coder-32B,q8_q4,q8_0,q4_0,4096,generation_rep2,256,61,29755,8.71,105.77,34724.3,416.00
q25-coder-32B,q8_q4,q8_0,q4_0,4096,generation_rep3,256,61,29310,8.77,8.66,34724.4,416.00
q25-coder-32B,q4_q4,q4_0,q4_0,4096,generation,256,61,29503,8.78,105.68,33468.0,288.00
q25-coder-32B,q4_q4,q4_0,q4_0,4096,prefill,32,2482,31695,7.19,90.21,34331.1,288.00
q25-coder-32B,q4_q4,q4_0,q4_0,4096,generation_rep2,256,61,30081,8.61,106.95,34507.9,288.00
q25-coder-32B,q4_q4,q4_0,q4_0,4096,generation_rep3,256,61,29770,8.63,8.63,34507.9,288.00
