model,kv_config,ctk,ctv,context_length,test_type,tokens_generated,prompt_tokens,time_ms,tokens_per_sec,prompt_tps,rss_mb,server_kv_size_mb
q25-coder-32B,f16_f16,f16,f16,65536,generation,256,61,27584,9.41,100.09,49553.3,16384.00
q25-coder-32B,f16_f16,f16,f16,65536,prefill,0,0,0,0.00,0.00,49553.3,16384.00
q25-coder-32B,f16_f16,f16,f16,65536,generation_rep2,256,61,27161,9.46,9.47,49632.3,16384.00
q25-coder-32B,f16_f16,f16,f16,65536,generation_rep3,256,61,27219,9.44,9.46,49632.4,16384.00
q25-coder-32B,q8_q8,q8_0,q8_0,65536,generation,256,61,27516,9.42,104.35,41872.2,8704.00
q25-coder-32B,q8_q8,q8_0,q8_0,65536,prefill,0,0,0,0.00,0.00,41872.2,8704.00
q25-coder-32B,q8_q8,q8_0,q8_0,65536,generation_rep2,256,61,27297,9.41,9.39,41914.3,8704.00
q25-coder-32B,q8_q8,q8_0,q8_0,65536,generation_rep3,256,61,27290,9.42,9.29,41914.4,8704.00
q25-coder-32B,q8_q4,q8_0,q4_0,65536,generation,256,61,27491,9.44,102.48,39824.3,6656.00
q25-coder-32B,q8_q4,q8_0,q4_0,65536,prefill,0,0,0,0.00,0.00,39824.3,6656.00
q25-coder-32B,q8_q4,q8_0,q4_0,65536,generation_rep2,256,61,27193,9.45,9.42,39856.5,6656.00
q25-coder-32B,q8_q4,q8_0,q4_0,65536,generation_rep3,256,61,26943,9.54,9.53,39856.6,6656.00
q25-coder-32B,q4_q4,q4_0,q4_0,65536,generation,256,61,28079,9.24,102.34,37776.2,4608.00
q25-coder-32B,q4_q4,q4_0,q4_0,65536,prefill,0,0,0,0.00,0.00,37776.2,4608.00
q25-coder-32B,q4_q4,q4_0,q4_0,65536,generation_rep2,256,61,27455,9.36,9.27,37798.5,4608.00
q25-coder-32B,q4_q4,q4_0,q4_0,65536,generation_rep3,256,61,27536,9.33,9.35,37798.6,4608.00
