elapsed_s	gpu_use_pct	vram_alloc_pct	stdout_bytes
0	0	0	0
30	0	60	0
60	2	60	0
91	0	60	0
121	0	60	0
151	0	60	0
182	36	60	0
212	99	60	0
243	2	60	0
273	0	60	0
303	0	60	0
333	0	60	0
