manual_watch_utc	elapsed_s	gpu_use_pct	vram_alloc_pct	stdout_bytes
2026-07-19T06:51:44Z	0	0	0	0
2026-07-19T06:52:14Z	31	100	60	0
2026-07-19T06:52:44Z	61	100	60	0
2026-07-19T06:53:14Z	91	100	60	0
2026-07-19T06:53:44Z	121	100	60	0
