prompt_idx,tokens,speed_tps,wall_s,draft_n,draft_accepted,acceptance_rate
0,109,89.68,1.506,106,105,99.1
1,6,28.19,0.746,4,4,100.0
2,51,83.76,0.757,47,47,100.0
3,6,34.29,0.655,4,4,100.0
4,47,42.6,1.328,72,39,54.2
5,6,39.93,0.454,4,4,100.0
6,447,36.86,12.57,894,386,43.2
7,6,37.32,0.548,4,4,100.0
8,312,36.9,8.613,300,234,78.0
9,4,32.25,0.263,4,2,50.0
10,318,44.19,7.398,321,258,80.4
11,6,35.12,0.685,4,4,100.0
12,387,46.49,8.488,414,321,77.5
13,6,28.56,0.671,4,4,100.0
14,307,47.94,6.563,281,253,90.0
15,6,35.39,0.691,4,4,100.0
16,512,43.82,11.994,697,437,62.7
17,6,42.09,0.4,4,4,100.0
18,512,44.42,11.707,485,413,85.2
19,6,35.24,0.635,4,4,100.0
