prompt_idx,tokens,speed_tps,wall_s,draft_n,draft_accepted,acceptance_rate
0,109,84.14,1.592,104,103,99.0
1,6,27.98,0.784,4,4,100.0
2,51,82.72,0.764,47,47,100.0
3,6,34.48,0.645,4,4,100.0
4,47,44.6,1.277,65,39,60.0
5,6,39.91,0.45,4,4,100.0
6,447,48.95,9.571,486,380,78.2
7,6,37.2,0.552,4,4,100.0
8,312,36.66,8.671,299,233,77.9
9,4,31.91,0.273,4,2,50.0
10,318,43.97,7.436,319,256,80.3
11,6,35.06,0.7,4,4,100.0
12,387,46.27,8.53,413,320,77.5
13,6,28.63,0.733,4,4,100.0
14,307,48.39,6.504,280,252,90.0
15,6,35.72,0.624,4,4,100.0
16,512,47.42,11.106,583,432,74.1
17,6,42.26,0.399,4,4,100.0
18,512,44.77,11.619,484,412,85.1
19,6,28.9,0.675,4,4,100.0
