prompt_idx,tokens,speed_tps,wall_s,draft_n,draft_accepted,acceptance_rate
0,109,72.5,1.787,101,100,99.0
1,6,29.07,0.766,4,4,100.0
2,51,73.18,0.845,46,46,100.0
3,6,33.99,0.659,4,4,100.0
4,47,45.58,1.26,48,38,79.2
5,6,38.97,0.464,4,4,100.0
6,447,46.41,10.073,447,373,83.4
7,6,36.16,0.619,4,4,100.0
8,312,36.06,8.814,292,232,79.5
9,4,29.5,0.282,4,2,50.0
10,318,41.69,7.825,304,253,83.2
11,6,29.95,0.743,4,4,100.0
12,387,44.08,8.947,386,315,81.6
13,6,35.39,0.634,4,4,100.0
14,307,45.65,6.885,277,249,89.9
15,6,35.46,0.625,4,4,100.0
16,512,46.64,11.288,516,426,82.6
17,6,41.42,0.402,4,4,100.0
18,512,42.66,12.185,472,408,86.4
19,6,35.17,0.643,4,4,100.0
