prompt_idx,tokens,speed_tps,wall_s,draft_n,draft_accepted,acceptance_rate
0,54,2.9,21.193,149,26,17.4
1,512,6.48,82.765,474,380,80.2
2,512,14.66,36.183,501,476,95.0
3,512,5.32,99.952,608,359,59.0
4,512,4.23,122.698,498,305,61.2
5,512,4.43,117.961,581,321,55.2
6,512,6.33,84.402,500,388,77.6
7,316,3.98,82.463,531,191,36.0
8,512,4.35,118.975,672,325,48.4
9,512,15.39,34.218,501,480,95.8
10,512,5.22,99.509,546,356,65.2
11,381,5.68,70.668,394,278,70.6
12,512,5.52,94.238,527,368,69.8
13,422,6.07,73.003,404,307,76.0
14,512,4.87,106.542,499,335,67.1
15,252,5.34,50.647,374,181,48.4
16,512,5.98,87.89,480,375,78.1
17,512,17.01,31.71,500,485,97.0
18,512,4.87,106.525,458,331,72.3
19,512,5.98,88.958,497,369,74.2
