prompt_idx,tokens,speed_tps,wall_s,draft_n,draft_accepted,acceptance_rate
0,109,82.88,1.611,105,104,99.0
1,6,28.43,0.778,4,4,100.0
2,51,81.44,0.777,47,47,100.0
3,6,34.09,0.652,4,4,100.0
4,47,42.31,1.335,72,39,54.2
5,6,39.48,0.45,4,4,100.0
6,447,46.18,10.117,553,383,69.3
7,6,36.69,0.558,4,4,100.0
8,312,36.13,8.799,300,234,78.0
9,4,31.85,0.266,4,2,50.0
10,318,43.34,7.546,320,257,80.3
11,6,34.16,0.707,4,4,100.0
12,387,45.3,8.711,414,321,77.5
13,6,27.57,0.766,4,4,100.0
14,307,48.02,6.563,281,253,90.0
15,6,35.24,0.628,4,4,100.0
16,512,45.21,11.636,650,435,66.9
17,6,42.18,0.401,4,4,100.0
18,512,44.47,11.696,485,413,85.2
19,6,35.14,0.639,4,4,100.0
