prompt_idx,tokens,speed_tps,wall_s,draft_n,draft_accepted,acceptance_rate
0,17,15.92,1.876,15,13,86.7
1,6,9.37,1.973,6,4,66.7
2,15,18.45,1.396,14,12,85.7
3,6,9.75,1.911,6,4,66.7
4,26,8.61,3.613,37,16,43.2
5,6,12.64,1.369,5,4,80.0
6,333,16.78,20.994,316,267,84.5
7,2,4.82,1.38,1,0,0.0
8,512,22.51,23.173,472,450,95.3
9,3,11.56,0.584,1,1,100.0
10,171,13.75,13.057,177,127,71.8
11,6,10.05,1.878,5,4,80.0
12,224,14.35,16.063,214,167,78.0
13,6,10.1,1.87,5,4,80.0
14,512,10.45,49.456,467,279,59.7
15,2,4.47,1.574,1,0,0.0
16,512,17.51,30.041,482,405,84.0
17,2,6.47,0.942,1,0,0.0
18,512,15.49,33.527,503,398,79.1
19,2,4.09,1.64,1,0,0.0
