prompt_idx,tokens,speed_tps,wall_s,draft_n,draft_accepted,acceptance_rate
0,17,16.12,1.877,15,13,86.7
1,6,8.98,2.029,6,4,66.7
2,15,18.84,1.387,14,12,85.7
3,6,9.93,1.908,6,4,66.7
4,26,8.92,3.53,37,16,43.2
5,6,12.61,1.356,5,4,80.0
6,333,18.65,18.964,328,279,85.1
7,2,4.36,1.398,1,0,0.0
8,512,25.16,20.779,497,475,95.6
9,3,11.82,0.555,1,1,100.0
10,168,13.36,13.039,182,123,67.6
11,6,9.96,1.911,5,4,80.0
12,216,14.39,15.443,215,165,76.7
13,6,10.61,1.833,5,4,80.0
14,317,11.38,28.307,371,203,54.7
15,2,4.39,1.561,1,0,0.0
16,512,10.8,48.168,774,372,48.1
17,2,6.44,0.924,1,0,0.0
18,512,12.68,40.859,571,364,63.7
19,2,4.37,1.549,1,0,0.0
