prompt_idx,tokens,speed_tps,wall_s,draft_n,draft_accepted,acceptance_rate
0,17,16.02,1.892,15,13,86.7
1,6,8.62,2.046,6,4,66.7
2,15,18.33,1.409,14,12,85.7
3,6,9.43,1.943,6,4,66.7
4,26,8.74,3.578,37,16,43.2
5,6,12.2,1.38,5,4,80.0
6,333,17.57,20.057,322,273,84.8
7,2,4.5,1.406,1,0,0.0
8,512,24.48,21.325,485,463,95.5
9,3,11.76,0.57,1,1,100.0
10,180,13.66,13.804,188,134,71.3
11,6,10.13,1.909,5,4,80.0
12,512,22.64,23.073,497,459,92.4
13,2,4.35,1.586,1,0,0.0
14,512,10.18,50.754,619,319,51.5
15,2,4.42,1.572,1,0,0.0
16,296,14.16,21.655,377,231,61.3
17,2,6.08,0.978,1,0,0.0
18,512,12.08,42.864,541,353,65.2
19,2,4.27,1.611,1,0,0.0
