prompt_idx,tokens,speed_tps,wall_s,draft_n,draft_accepted,acceptance_rate
0,12,19.77,1.759,9,7,77.8
1,2,5.41,2.241,2,0,0.0
2,10,14.88,1.166,18,5,27.8
3,2,9.76,2.094,1,0,0.0
4,25,18.39,2.133,20,15,75.0
5,2,11.33,1.348,3,0,0.0
6,412,30.75,15.045,389,341,87.7
7,2,11.02,1.62,1,0,0.0
8,389,21.94,18.325,371,277,74.7
9,2,14.47,0.56,1,0,0.0
10,258,28.82,9.613,231,201,87.0
11,2,10.36,1.965,1,0,0.0
12,366,23.94,15.911,366,269,73.5
13,2,10.52,1.891,1,0,0.0
14,306,25.27,12.675,312,229,73.4
15,2,11.81,2.032,1,0,0.0
16,474,21.57,23.172,534,342,64.0
17,2,11.81,1.039,3,0,0.0
18,512,29.83,17.817,501,411,82.0
19,2,10.35,1.891,2,0,0.0
