prompt_idx,tokens,speed_tps,wall_s,draft_n,draft_accepted,acceptance_rate
0,17,15.88,1.898,15,13,86.7
1,6,9.37,2.005,6,4,66.7
2,15,17.79,1.501,14,12,85.7
3,6,9.94,1.945,6,4,66.7
4,26,8.47,3.665,37,16,43.2
5,6,12.31,1.406,5,4,80.0
6,333,17.97,19.643,327,278,85.0
7,2,4.25,1.402,1,0,0.0
8,512,24.75,21.099,495,473,95.6
9,3,11.3,0.579,1,1,100.0
10,168,13.03,13.355,182,123,67.6
11,6,10.07,1.877,5,4,80.0
12,250,14.49,17.691,242,189,78.1
13,6,10.85,1.789,5,4,80.0
14,512,11.11,46.526,663,343,51.7
15,2,4.46,1.513,1,0,0.0
16,512,18.43,28.517,500,423,84.6
17,2,6.46,0.915,1,0,0.0
18,512,13.27,39.045,528,386,73.1
19,2,4.45,1.513,1,0,0.0
