prompt_idx,tokens,speed_tps,wall_s,draft_n,draft_accepted,acceptance_rate
0,109,88.54,1.506,106,105,99.1
1,6,27.57,0.75,4,4,100.0
2,51,80.25,0.786,47,47,100.0
3,6,33.41,0.663,4,4,100.0
4,47,41.87,1.357,72,39,54.2
5,6,39.79,0.448,4,4,100.0
6,447,42.21,11.039,683,385,56.4
7,6,37.51,0.552,4,4,100.0
8,312,36.53,8.702,300,234,78.0
9,4,31.83,0.264,4,2,50.0
10,318,44.2,7.399,321,258,80.4
11,6,35.19,0.686,4,4,100.0
12,387,46.22,8.538,414,321,77.5
13,6,28.44,0.741,4,4,100.0
14,307,48.04,6.55,281,253,90.0
15,6,36.02,0.62,4,4,100.0
16,512,44.4,11.84,697,437,62.7
17,6,37.54,0.417,4,4,100.0
18,512,43.91,11.841,485,413,85.2
19,6,30.52,0.718,4,4,100.0
