prompt_idx,tokens,speed_tps,wall_s,draft_n,draft_accepted,acceptance_rate
0,12,18.63,1.815,9,7,77.8
1,2,5.05,2.258,2,0,0.0
2,10,13.85,1.28,18,5,27.8
3,2,11.32,2.36,1,0,0.0
4,25,20.26,1.981,20,15,75.0
5,2,10.23,1.339,3,0,0.0
6,412,28.97,16.017,383,335,87.5
7,2,11.21,1.88,1,0,0.0
8,389,22.27,18.022,370,276,74.6
9,2,15.01,0.551,1,0,0.0
10,258,28.91,9.583,230,200,87.0
11,2,10.64,1.938,1,0,0.0
12,366,24.52,15.5,365,268,73.4
13,2,11.87,1.878,1,0,0.0
14,306,25.59,12.527,312,229,73.4
15,2,11.41,1.802,1,0,0.0
16,474,22.87,21.881,479,342,71.4
17,2,11.81,1.05,3,0,0.0
18,512,28.64,18.529,498,408,81.9
19,2,9.84,1.943,2,0,0.0
