prompt_idx,tokens,speed_tps,wall_s,draft_n,draft_accepted,acceptance_rate
0,45,2.75,18.822,135,20,14.8
1,512,6.7,80.121,459,387,84.3
2,512,4.74,109.233,484,332,68.6
3,512,5.4,98.421,473,348,73.6
4,512,4.21,123.112,482,309,64.1
5,512,4.87,107.488,518,341,65.8
6,512,8.41,64.179,498,433,86.9
7,510,5.47,95.939,757,375,49.5
8,512,4.65,111.548,628,339,54.0
9,512,11.03,47.379,549,460,83.8
10,512,5.22,99.453,535,350,65.4
11,512,8.09,66.679,609,426,70.0
12,512,5.05,102.764,492,334,67.9
13,512,17.63,32.324,507,488,96.3
14,512,4.81,107.824,663,327,49.3
15,507,6.16,85.529,559,380,68.0
16,512,5.79,90.672,478,371,77.6
17,512,5.09,102.316,583,345,59.2
18,512,4.66,111.167,487,319,65.5
19,512,5.31,99.896,519,349,67.2
