prompt_idx,tokens,speed_tps,wall_s,draft_n,draft_accepted,acceptance_rate
0,12,19.47,1.746,9,7,77.8
1,2,9.16,2.012,2,0,0.0
2,10,14.79,1.336,18,5,27.8
3,2,10.16,2.036,1,0,0.0
4,25,19.52,2.006,20,15,75.0
5,2,12.03,1.263,3,0,0.0
6,412,30.11,15.315,388,340,87.6
7,2,12.05,1.647,1,0,0.0
8,389,21.85,18.412,371,277,74.7
9,2,14.43,0.609,1,0,0.0
10,258,25.35,10.916,231,201,87.0
11,2,10.08,2.025,1,0,0.0
12,366,23.91,15.919,366,269,73.5
13,2,10.85,1.871,1,0,0.0
14,306,25.61,12.51,312,229,73.4
15,2,9.14,1.906,1,0,0.0
16,474,21.66,23.123,534,342,64.0
17,2,12.47,1.119,3,0,0.0
18,512,29.93,17.806,501,411,82.0
19,2,10.69,1.896,2,0,0.0
