prompt_idx,tokens,speed_tps,wall_s,draft_n,draft_accepted,acceptance_rate
0,43,2.4,19.831,76,13,17.1
1,512,7.2,74.828,619,425,68.7
2,512,4.98,104.066,471,351,74.5
3,512,11.33,48.884,490,453,92.4
4,512,9.91,53.334,505,447,88.5
5,512,4.09,127.663,544,313,57.5
6,512,5.48,97.037,498,376,75.5
7,469,4.72,102.436,419,310,74.0
8,512,4.44,116.775,475,341,71.8
9,512,11.89,44.073,483,455,94.2
10,512,6.14,84.881,509,393,77.2
11,512,7.54,71.517,593,417,70.3
12,512,3.88,133.439,507,305,60.2
13,512,13.65,41.061,478,467,97.7
14,512,4.79,108.398,478,340,71.1
15,231,6.94,36.808,250,183,73.2
16,512,4.71,111.056,484,337,69.6
17,512,13.27,40.355,479,464,96.9
18,512,4.09,126.659,526,308,58.6
19,512,5.92,90.059,541,381,70.4
