prompt_idx,tokens,speed_tps,wall_s,draft_n,draft_accepted,acceptance_rate
0,45,2.8,18.601,135,20,14.8
1,512,6.75,79.39,459,387,84.3
2,512,4.74,109.315,484,332,68.6
3,512,5.45,97.706,473,348,73.6
4,512,4.25,122.127,482,309,64.1
5,512,4.88,107.129,518,341,65.8
6,512,8.39,64.316,498,433,86.9
7,512,9.1,59.017,606,444,73.3
8,512,5.64,92.056,1254,422,33.7
9,140,3.97,36.171,160,75,46.9
10,512,4.81,107.824,526,336,63.9
11,489,5.8,87.93,772,383,49.6
12,512,4.19,123.689,551,308,55.9
13,512,5.69,93.586,957,399,41.7
14,512,4.45,116.542,590,323,54.7
15,24,1.43,20.723,275,7,2.5
16,512,5.44,96.476,601,367,61.1
17,512,5.88,88.771,487,363,74.5
18,512,5.38,96.632,655,374,57.1
19,512,5.78,92.015,646,377,58.4
