prompt_idx,tokens,speed_tps,wall_s,draft_n,draft_accepted,acceptance_rate
0,12,14.49,2.088,9,7,77.8
1,2,9.04,2.043,2,0,0.0
2,10,14.21,1.229,18,5,27.8
3,2,7.68,2.256,1,0,0.0
4,25,19.75,2.055,20,15,75.0
5,2,12.15,1.259,3,0,0.0
6,412,29.63,15.53,386,338,87.6
7,2,10.98,1.639,1,0,0.0
8,389,22.05,18.218,371,277,74.7
9,2,14.1,0.574,1,0,0.0
10,258,28.19,9.813,231,201,87.0
11,2,10.22,2.03,1,0,0.0
12,366,23.39,16.248,366,269,73.5
13,2,10.17,1.91,1,0,0.0
14,306,25.12,12.755,312,229,73.4
15,2,11.08,1.871,1,0,0.0
16,474,22.35,22.424,526,342,65.0
17,2,12.8,1.034,3,0,0.0
18,512,28.5,18.615,501,411,82.0
19,2,9.19,2.02,2,0,0.0
