prompt_idx,tokens,speed_tps,wall_s,draft_n,draft_accepted,acceptance_rate
0,17,15.43,1.921,15,13,86.7
1,6,9.51,2.229,6,4,66.7
2,15,18.68,1.385,14,12,85.7
3,6,9.96,1.9,6,4,66.7
4,26,8.86,3.521,37,16,43.2
5,6,12.42,1.377,5,4,80.0
6,333,18.16,19.442,325,276,84.9
7,2,4.53,1.39,1,0,0.0
8,512,26.03,20.102,492,470,95.5
9,3,11.75,0.574,1,1,100.0
10,182,15.49,12.404,186,144,77.4
11,6,9.59,2.005,6,4,66.7
12,479,18.14,27.14,529,408,77.1
13,3,6.55,1.541,1,1,100.0
14,410,9.93,41.725,482,238,49.4
15,2,4.07,1.624,1,0,0.0
16,367,14.23,26.557,371,271,73.0
17,2,6.03,0.973,1,0,0.0
18,361,12.93,28.378,373,259,69.4
19,2,4.12,1.633,1,0,0.0
