wiring	instance	node	cpu_set	threads	avg_ts	stddev_ts	n_runs
w1a	0	0	0-23	24	4.207106	0.011253	5
w1b	w1b_node0	0	0-23	24	4.193806	0.021558	5
w1b	w1b_node1	1	24-47	24	4.271460	0.004419	5
w2	w2_node0	0	0-23	24	4.152343	0.070685	5
w2	w2_node1	1	24-47	24	4.248540	0.007522	5
w2	w2_node2	2	48-71	24	4.241749	0.017291	5
w2	w2_node3	3	72-95	24	4.219930	0.005644	5
