config,draft_max,p_split,lookup,prompt_idx,tokens_generated,time_ms,tokens_per_sec
baseline,0,0,no,0,256,68131,3.76
baseline,0,0,no,1,256,67461,3.79
baseline,0,0,no,2,256,67977,3.77
spec_dm8_linear,8,0,no,0,256,36051,7.10
spec_dm8_linear,8,0,no,1,256,47050,5.44
spec_dm8_linear,8,0,no,2,256,44704,5.73
spec_dm16_linear,16,0,no,0,256,33445,7.65
spec_dm16_linear,16,0,no,1,256,47281,5.41
spec_dm16_linear,16,0,no,2,256,46200,5.54
spec_dm24_linear,24,0,no,0,256,32551,7.86
spec_dm24_linear,24,0,no,1,256,46162,5.55
spec_dm24_linear,24,0,no,2,256,45600,5.61
spec_dm32_linear,32,0,no,0,256,32832,7.80
spec_dm32_linear,32,0,no,1,256,46186,5.54
spec_dm32_linear,32,0,no,2,256,45490,5.63
spec_dm48_linear,48,0,no,0,256,30828,8.30
spec_dm48_linear,48,0,no,1,256,45737,5.60
spec_dm48_linear,48,0,no,2,256,44805,5.71
spec_dm16_tree,16,0.05,no,0,256,39517,6.48
spec_dm16_tree,16,0.05,no,1,256,61659,4.15
spec_dm16_tree,16,0.05,no,2,256,60265,4.25
spec_dm32_tree,32,0.05,no,0,256,41283,6.20
spec_dm32_tree,32,0.05,no,1,256,60391,4.24
spec_dm32_tree,32,0.05,no,2,256,61160,4.19
spec_dm24_lookup,24,0,yes,0,256,40878,6.26
spec_dm24_lookup,24,0,yes,1,256,58138,4.40
spec_dm24_lookup,24,0,yes,2,256,57298,4.47
