elapsed_s	gpu_use_pct	vram_alloc_pct	stdout_bytes
0	0	0	27
15	100	60	27
30	100	60	27
46	100	60	27
62	100	60	27
78	100	60	27
94	100	59	1092
110	100	59	1092
126	100	59	1092
142	100	59	1092
158	100	59	1092
175	100	59	2192
