variant,request_idx,tokens_generated,wall_ms,decode_tps
q8_192t,0,128,11798,11.22
q8_192t,1,128,19086,6.83
q8_192t,2,128,16301,8.09
q8_192t,3,128,17463,7.57
q8_192t,4,128,16629,7.93
q8_192t,5,128,12178,10.94
