0.02.973.409 I 
Computing statistics for /mnt/raid0/llm/tmp/expert-routing-skew-glm52-20260717T-production-representative/expert-routing-skew.imatrix.gguf (1002 tensors)
0.02.973.414 I 
 Layer	       Tensor	          Σ(Act²)	  Min	            Max	           μ	   σ	 % Active	N	   Entropy	E (norm)	ZD	  CosSim
0.02.973.414 I =========================================================================================================================================================================
0.02.974.002 I    27	attn_q_b            	   1191.96	  0.0004	     5.2765	  0.58	  0.38	  100.00%	  2048	   10.7807	 98.01%	      9.08%	  0.6630
0.02.974.003 I    28	attn_q_b            	   1080.05	  0.0001	     5.8661	  0.53	  0.39	  100.00%	  2048	   10.7610	 97.83%	      7.03%	  0.6762
0.02.974.005 I    67	attn_q_b            	   1001.06	  0.0003	   236.2687	  0.49	  5.21	  100.00%	  2048	    9.1021	 82.75%	      0.05%	  0.0249
0.02.974.006 I    20	attn_q_b            	    981.19	  0.0006	     3.4871	  0.48	  0.34	  100.00%	  2048	   10.7316	 97.56%	     10.11%	  0.4405
0.02.974.008 I    73	attn_q_b            	    964.02	  0.0000	    12.7806	  0.47	  0.43	  100.00%	  2048	   10.7074	 97.34%	      6.30%	  0.1911
0.02.974.009 I    66	attn_q_b            	    932.79	  0.0000	    62.7706	  0.46	  1.44	  100.00%	  2048	   10.3018	 93.65%	      0.93%	  0.2650
0.02.974.011 I    71	attn_q_b            	    931.09	  0.0000	    19.0382	  0.45	  0.65	   99.95%	  2048	   10.4609	 95.10%	      4.74%	  0.1215
0.02.974.012 I    29	attn_q_b            	    897.18	  0.0007	    10.1820	  0.44	  0.51	  100.00%	  2048	   10.5470	 95.88%	      5.13%	  0.5309
0.02.974.014 I    70	attn_q_b            	    882.33	  0.0000	    73.6171	  0.43	  1.81	  100.00%	  2048	    9.7841	 88.95%	      0.98%	  0.1064
0.02.974.015 I    72	attn_q_b            	    868.48	  0.0000	    61.6797	  0.42	  1.63	   99.95%	  2048	   10.0591	 91.45%	      0.63%	  0.1400
0.02.974.017 I    58	attn_q_b            	    863.89	  0.0000	   196.1086	  0.42	  4.33	  100.00%	  2048	    8.9878	 81.71%	      0.10%	  0.0475
0.02.974.019 I    26	attn_q_b            	    858.95	  0.0001	     3.9080	  0.42	  0.32	  100.00%	  2048	   10.7280	 97.53%	      8.45%	  0.4443
0.02.974.020 I    74	attn_q_b            	    839.41	  0.0000	    15.8166	  0.41	  0.53	  100.00%	  2048	   10.6256	 96.60%	      3.17%	  0.4449
0.02.974.022 I    69	attn_q_b            	    838.99	  0.0008	    30.9812	  0.41	  0.80	  100.00%	  2048	   10.5725	 96.11%	      1.27%	  0.3019
0.02.974.024 I    18	attn_q_b            	    823.25	  0.0011	     3.7845	  0.40	  0.33	  100.00%	  2048	   10.6640	 96.95%	      8.94%	  0.3805
0.02.974.025 I    22	attn_q_b            	    818.36	  0.0000	     6.3321	  0.40	  0.42	   99.90%	  2048	   10.5003	 95.46%	      7.91%	  0.3207
0.02.974.027 I    76	attn_q_b            	    791.82	  0.0000	     6.2715	  0.39	  0.31	  100.00%	  2048	   10.7124	 97.39%	      8.25%	  0.4531
0.02.974.028 I    24	attn_q_b            	    774.96	  0.0000	     4.5692	  0.38	  0.33	   99.95%	  2048	   10.6485	 96.80%	      8.30%	  0.3394
0.02.974.029 I    23	attn_q_b            	    754.38	  0.0010	    19.0522	  0.37	  0.70	  100.00%	  2048	   10.1251	 92.05%	      4.59%	  0.3392
0.02.974.031 I    12	attn_q_b            	    741.48	  0.0001	     4.2659	  0.36	  0.36	  100.00%	  2048	   10.5041	 95.49%	     10.50%	  0.4378
0.02.974.032 I    75	attn_q_b            	    681.29	  0.0000	    12.0377	  0.33	  0.44	  100.00%	  2048	   10.5750	 96.14%	      3.76%	  0.3674
0.02.974.034 I    15	attn_q_b            	    643.84	  0.0001	     8.7344	  0.31	  0.41	  100.00%	  2048	   10.2806	 93.46%	      8.59%	  0.3910
0.02.974.035 I    25	attn_q_b            	    639.63	  0.0000	     9.4940	  0.31	  0.48	  100.00%	  2048	   10.2778	 93.43%	      5.81%	  0.3806
0.02.974.037 I    19	attn_q_b            	    617.01	  0.0000	    10.4236	  0.30	  0.48	   99.61%	  2048	   10.0526	 91.39%	      7.08%	  0.4104
0.02.974.038 I     8	attn_q_b            	    575.12	  0.0001	    11.7130	  0.28	  0.48	  100.00%	  2048	   10.2049	 92.77%	      5.76%	  0.0473
0.02.974.040 I    10	attn_q_b            	    559.51	  0.0000	     3.5631	  0.27	  0.28	   99.95%	  2048	   10.4701	 95.18%	     10.99%	  0.2794
0.02.974.041 I    14	attn_q_b            	    552.32	  0.0002	     4.9451	  0.27	  0.31	  100.00%	  2048	   10.4444	 94.95%	      8.59%	  0.2407
0.02.974.042 I    21	attn_q_b            	    519.85	  0.0000	     7.4814	  0.25	  0.45	   99.85%	  2048	    9.9488	 90.44%	      6.64%	  0.3937
0.02.974.044 I    11	attn_q_b            	    515.38	  0.0001	     3.5250	  0.25	  0.31	  100.00%	  2048	   10.3373	 93.98%	      9.13%	  0.4340
0.02.974.045 I    77	attn_q_b            	    460.12	  0.0000	    10.3507	  0.22	  0.45	   99.95%	  2048	   10.1679	 92.44%	      3.17%	  0.3430
0.02.974.047 I    17	attn_q_b            	    442.54	  0.0000	     6.5670	  0.22	  0.37	   99.76%	  2048	    9.9775	 90.70%	      6.88%	  0.1043
0.02.974.048 I    13	attn_q_b            	    361.21	  0.0001	    11.0843	  0.18	  0.46	  100.00%	  2048	    9.6818	 88.02%	      4.69%	  0.2598
0.02.974.050 I     6	attn_q_b            	    353.45	  0.0001	    25.8816	  0.17	  0.82	  100.00%	  2048	    9.1128	 82.84%	      1.27%	  0.0411
0.02.974.051 I    16	attn_q_b            	    329.68	  0.0000	    20.5792	  0.16	  0.70	   98.10%	  2048	    8.7249	 79.32%	      3.08%	  0.1047
0.02.974.053 I     9	attn_q_b            	    303.57	  0.0000	     5.4433	  0.15	  0.34	  100.00%	  2048	    9.5167	 86.52%	      6.25%	  0.2117
0.02.974.055 I     5	attn_q_b            	    245.36	  0.0015	    20.0151	  0.12	  0.64	  100.00%	  2048	    8.9225	 81.11%	      1.22%	  0.0167
0.02.974.056 I     7	attn_q_b            	    186.50	  0.0000	    35.4372	  0.09	  0.88	   98.88%	  2048	    7.2105	 65.55%	      0.88%	  0.0183
0.02.974.058 I     4	attn_q_b            	    142.99	  0.0001	    21.5408	  0.07	  0.62	  100.00%	  2048	    7.4249	 67.50%	      0.73%	  0.0045
0.02.974.059 I     1	attn_q_b            	    136.20	  0.0003	    13.2446	  0.07	  0.40	  100.00%	  2048	    8.3745	 76.13%	      1.66%	  0.0537
0.02.974.061 I     0	attn_q_b            	    115.04	  0.0000	     7.1587	  0.06	  0.29	   99.76%	  2048	    8.1115	 73.74%	      2.73%	  0.0000
0.02.974.062 I     3	attn_q_b            	    111.62	  0.0001	    27.7350	  0.05	  0.75	  100.00%	  2048	    5.7845	 52.59%	      0.78%	  0.0190
0.02.974.064 I     2	attn_q_b            	     83.63	  0.0004	    14.6126	  0.04	  0.36	  100.00%	  2048	    7.7058	 70.05%	      1.12%	  0.0116
0.02.974.065 I    77	attn_v_b            	   2711.31	  0.0015	     0.7960	  0.08	  0.06	  100.00%	 32768	   14.6900	 97.93%	     11.31%	  0.5551
0.02.974.067 I    76	attn_v_b            	   2434.24	  0.0021	     1.0509	  0.07	  0.08	  100.00%	 32768	   14.3971	 95.98%	      9.91%	  0.4461
0.02.974.068 I    72	attn_v_b            	   2289.47	  0.0009	     1.0285	  0.07	  0.06	  100.00%	 32768	   14.6246	 97.50%	     11.55%	  0.5448
0.02.974.070 I    75	attn_v_b            	   2273.45	  0.0011	     3.6339	  0.07	  0.09	  100.00%	 32768	   14.4679	 96.45%	      8.07%	  0.4316
0.02.974.071 I    74	attn_v_b            	   1731.39	  0.0025	     0.6569	  0.05	  0.04	  100.00%	 32768	   14.5919	 97.28%	     12.29%	  0.5832
0.02.974.073 I    69	attn_v_b            	   1681.85	  0.0038	     0.6469	  0.05	  0.03	  100.00%	 32768	   14.8161	 98.77%	     10.86%	  0.6202
0.02.974.074 I    70	attn_v_b            	   1419.58	  0.0005	     2.8499	  0.04	  0.06	  100.00%	 32768	   14.5291	 96.86%	      2.76%	  0.5090
0.02.974.076 I    73	attn_v_b            	   1382.28	  0.0015	     0.4237	  0.04	  0.03	  100.00%	 32768	   14.6139	 97.43%	     13.94%	  0.6203
0.02.974.078 I    66	attn_v_b            	    876.51	  0.0002	     0.6125	  0.03	  0.02	  100.00%	 32768	   14.7858	 98.57%	      9.03%	  0.6761
0.02.974.079 I    68	attn_v_b            	    871.48	  0.0009	     0.6383	  0.03	  0.03	  100.00%	 32768	   14.5253	 96.84%	     10.28%	  0.4876
0.02.974.081 I    71	attn_v_b            	    862.64	  0.0004	     0.3383	  0.03	  0.02	  100.00%	 32768	   14.5151	 96.77%	     11.13%	  0.4280
0.02.974.082 I    67	attn_v_b            	    723.82	  0.0004	     0.1338	  0.02	  0.02	  100.00%	 32768	   14.6570	 97.71%	     14.04%	  0.6641
0.02.974.084 I    43	attn_v_b            	    635.02	  0.0026	     0.4793	  0.02	  0.02	  100.00%	 32768	   14.7334	 98.22%	      8.55%	  0.3777
0.02.974.085 I    48	attn_v_b            	    610.48	  0.0011	     1.0813	  0.02	  0.02	  100.00%	 32768	   14.6514	 97.68%	      3.45%	  0.3326
0.02.974.087 I    50	attn_v_b            	    610.46	  0.0037	     0.6655	  0.02	  0.02	  100.00%	 32768	   14.7577	 98.38%	      4.73%	  0.3916
0.02.974.088 I    49	attn_v_b            	    501.99	  0.0006	     0.8345	  0.02	  0.02	  100.00%	 32768	   14.5285	 96.86%	      3.06%	  0.3546
0.02.974.090 I    54	attn_v_b            	    485.85	  0.0003	     0.3299	  0.01	  0.01	  100.00%	 32768	   14.6376	 97.58%	     10.65%	  0.4287
0.02.974.091 I    58	attn_v_b            	    472.91	  0.0003	     0.9168	  0.01	  0.02	  100.00%	 32768	   14.4492	 96.33%	      4.30%	  0.3882
0.02.974.093 I    47	attn_v_b            	    457.68	  0.0010	     0.7295	  0.01	  0.02	  100.00%	 32768	   14.5352	 96.90%	      2.72%	  0.2354
0.02.974.094 I    42	attn_v_b            	    424.01	  0.0009	     1.3340	  0.01	  0.02	  100.00%	 32768	   14.4766	 96.51%	      1.84%	  0.1892
0.02.974.096 I    65	attn_v_b            	    413.80	  0.0016	     0.2054	  0.01	  0.01	  100.00%	 32768	   14.6280	 97.52%	     12.58%	  0.4083
0.02.974.097 I    45	attn_v_b            	    404.62	  0.0007	     0.1752	  0.01	  0.01	  100.00%	 32768	   14.7342	 98.23%	      9.43%	  0.2404
0.02.974.099 I    40	attn_v_b            	    403.39	  0.0006	     0.9125	  0.01	  0.02	  100.00%	 32768	   14.4879	 96.59%	      5.55%	  0.2567
0.02.974.100 I    61	attn_v_b            	    401.77	  0.0005	     0.1522	  0.01	  0.01	  100.00%	 32768	   14.5384	 96.92%	     11.48%	  0.5426
0.02.974.101 I    51	attn_v_b            	    393.93	  0.0004	     0.8294	  0.01	  0.02	  100.00%	 32768	   14.3147	 95.43%	      4.39%	  0.3597
0.02.974.103 I    55	attn_v_b            	    362.73	  0.0002	     0.2673	  0.01	  0.01	  100.00%	 32768	   14.3813	 95.88%	      9.61%	  0.5402
0.02.974.104 I    41	attn_v_b            	    352.91	  0.0002	     0.8233	  0.01	  0.02	  100.00%	 32768	   14.0907	 93.94%	      2.92%	  0.2142
0.02.974.106 I    44	attn_v_b            	    338.25	  0.0002	     1.1662	  0.01	  0.03	  100.00%	 32768	   13.9920	 93.28%	      2.15%	  0.2730
0.02.974.107 I    53	attn_v_b            	    323.52	  0.0006	     0.3473	  0.01	  0.01	  100.00%	 32768	   14.4838	 96.56%	      5.95%	  0.3543
0.02.974.109 I    37	attn_v_b            	    312.70	  0.0001	     0.4017	  0.01	  0.01	  100.00%	 32768	   14.7016	 98.01%	      3.93%	  0.4468
0.02.974.111 I    39	attn_v_b            	    311.01	  0.0001	     0.6338	  0.01	  0.02	  100.00%	 32768	   14.3494	 95.66%	      4.11%	  0.1791
0.02.974.113 I    46	attn_v_b            	    305.71	  0.0002	     0.5561	  0.01	  0.02	  100.00%	 32768	   14.1790	 94.53%	      3.81%	  0.3059
0.02.974.115 I    38	attn_v_b            	    291.98	  0.0002	     1.0852	  0.01	  0.02	  100.00%	 32768	   14.2620	 95.08%	      0.89%	  0.2748
0.02.974.117 I    52	attn_v_b            	    291.41	  0.0003	     0.2830	  0.01	  0.01	  100.00%	 32768	   14.5833	 97.22%	      4.45%	  0.3020
0.02.974.118 I    36	attn_v_b            	    258.76	  0.0019	     0.2767	  0.01	  0.01	  100.00%	 32768	   14.6052	 97.37%	      6.74%	  0.2964
0.02.974.121 I    57	attn_v_b            	    231.04	  0.0002	     0.0591	  0.01	  0.01	  100.00%	 32768	   14.5587	 97.06%	     13.28%	  0.5946
0.02.974.123 I    59	attn_v_b            	    220.96	  0.0001	     0.0763	  0.01	  0.01	  100.00%	 32768	   14.5178	 96.79%	     10.18%	  0.3873
0.02.974.125 I    64	attn_v_b            	    218.91	  0.0002	     0.1847	  0.01	  0.01	  100.00%	 32768	   14.3213	 95.48%	      6.23%	  0.3721
0.02.974.126 I    60	attn_v_b            	    208.69	  0.0001	     0.0524	  0.01	  0.01	  100.00%	 32768	   14.5435	 96.96%	     14.58%	  0.4865
0.02.974.129 I    33	attn_v_b            	    208.06	  0.0002	     0.9224	  0.01	  0.01	  100.00%	 32768	   14.4741	 96.49%	      2.46%	  0.2113
0.02.974.130 I    34	attn_v_b            	    206.72	  0.0005	     0.5209	  0.01	  0.01	  100.00%	 32768	   14.4126	 96.08%	      0.77%	  0.2094
0.02.974.133 I    62	attn_v_b            	    199.19	  0.0008	     0.0782	  0.01	  0.01	  100.00%	 32768	   14.5447	 96.96%	      7.89%	  0.5064
0.02.974.135 I    63	attn_v_b            	    187.94	  0.0001	     0.1207	  0.01	  0.01	  100.00%	 32768	   14.1596	 94.40%	      7.47%	  0.3666
0.02.974.137 I    35	attn_v_b            	    179.59	  0.0010	     0.3766	  0.01	  0.01	  100.00%	 32768	   14.5184	 96.79%	      0.25%	  0.2007
0.02.974.138 I    56	attn_v_b            	    166.43	  0.0005	     0.0731	  0.01	  0.00	  100.00%	 32768	   14.6180	 97.45%	      8.47%	  0.4576
0.02.974.140 I    31	attn_v_b            	    103.22	  0.0002	     0.3545	  0.00	  0.01	  100.00%	 32768	   14.3942	 95.96%	      0.77%	  0.1845
0.02.974.141 I    32	attn_v_b            	    103.06	  0.0003	     0.2160	  0.00	  0.01	  100.00%	 32768	   14.3006	 95.34%	      2.93%	  0.1755
0.02.974.143 I    30	attn_v_b            	     56.44	  0.0002	     0.1051	  0.00	  0.00	  100.00%	 32768	   14.4027	 96.02%	      1.15%	  0.3411
0.02.974.145 I    29	attn_v_b            	     26.00	  0.0000	     0.0075	  0.00	  0.00	  100.00%	 32768	   14.6920	 97.95%	      7.70%	  0.7762
0.02.974.146 I    27	attn_v_b            	     20.25	  0.0000	     0.0076	  0.00	  0.00	  100.00%	 32768	   14.5863	 97.24%	     10.73%	  0.6121
0.02.974.148 I    28	attn_v_b            	     18.66	  0.0000	     0.0052	  0.00	  0.00	  100.00%	 32768	   14.8457	 98.97%	     13.67%	  0.6727
0.02.974.149 I    26	attn_v_b            	     10.55	  0.0000	     0.0031	  0.00	  0.00	   99.99%	 32768	   14.7119	 98.08%	     11.98%	  0.6221
0.02.974.151 I    25	attn_v_b            	      5.81	  0.0000	     0.0015	  0.00	  0.00	   99.98%	 32768	   14.6906	 97.94%	     10.52%	  0.7170
0.02.974.152 I    22	attn_v_b            	      4.02	  0.0000	     0.0035	  0.00	  0.00	   98.21%	 32768	   14.1518	 94.35%	      8.66%	  0.1465
0.02.974.154 I    23	attn_v_b            	      3.41	  0.0000	     0.0011	  0.00	  0.00	   99.80%	 32768	   14.7039	 98.03%	      9.04%	  0.4867
0.02.974.155 I    24	attn_v_b            	      3.14	  0.0000	     0.0007	  0.00	  0.00	   99.80%	 32768	   14.8215	 98.81%	     13.85%	  0.6534
0.02.974.157 I    20	attn_v_b            	      3.06	  0.0000	     0.0037	  0.00	  0.00	   97.16%	 32768	   14.1190	 94.13%	      5.91%	  0.2910
0.02.974.158 I    18	attn_v_b            	      2.29	  0.0000	     0.0010	  0.00	  0.00	   97.74%	 32768	   14.5734	 97.16%	      9.12%	  0.4889
0.02.974.160 I    21	attn_v_b            	      2.02	  0.0000	     0.0108	  0.00	  0.00	   90.83%	 32768	   13.8034	 92.02%	      4.17%	  0.1464
0.02.974.161 I    19	attn_v_b            	      1.29	  0.0000	     0.0007	  0.00	  0.00	   82.68%	 32768	   14.3666	 95.78%	      9.70%	  0.4531
0.02.974.163 I    17	attn_v_b            	      0.77	  0.0000	     0.0005	  0.00	  0.00	   68.50%	 32768	   14.4147	 96.10%	     10.04%	  0.4900
0.02.974.165 I    16	attn_v_b            	      0.46	  0.0000	     0.0003	  0.00	  0.00	   45.04%	 32768	   14.3325	 95.55%	     10.73%	  0.4401
0.02.974.166 I    15	attn_v_b            	      0.45	  0.0000	     0.0002	  0.00	  0.00	   48.90%	 32768	   14.5614	 97.08%	     13.16%	  0.6209
0.02.974.168 I    12	attn_v_b            	      0.43	  0.0000	     0.0002	  0.00	  0.00	   45.31%	 32768	   14.4093	 96.06%	     11.73%	  0.5145
0.02.974.169 I    14	attn_v_b            	      0.41	  0.0000	     0.0001	  0.00	  0.00	   52.82%	 32768	   14.6858	 97.91%	     13.67%	  0.5865
0.02.974.171 I     0	attn_v_b            	      0.27	  0.0000	     0.0002	  0.00	  0.00	   20.03%	 32768	   13.2928	 88.62%	      8.54%	  0.0000
0.02.974.172 I    13	attn_v_b            	      0.24	  0.0000	     0.0001	  0.00	  0.00	   19.21%	 32768	   14.5623	 97.08%	     10.77%	  0.5437
0.02.974.174 I    11	attn_v_b            	      0.23	  0.0000	     0.0001	  0.00	  0.00	   22.15%	 32768	   14.4268	 96.18%	     11.57%	  0.4649
0.02.974.175 I    10	attn_v_b            	      0.22	  0.0000	     0.0001	  0.00	  0.00	   18.02%	 32768	   14.3968	 95.98%	      9.34%	  0.3662
0.02.974.177 I     8	attn_v_b            	      0.17	  0.0000	     0.0001	  0.00	  0.00	    8.61%	 32768	   14.7283	 98.19%	     11.82%	  0.5681
0.02.974.178 I     9	attn_v_b            	      0.09	  0.0000	     0.0001	  0.00	  0.00	    2.53%	 32768	   14.3573	 95.72%	     10.49%	  0.5194
0.02.974.180 I     6	attn_v_b            	      0.08	  0.0000	     0.0000	  0.00	  0.00	    0.60%	 32768	   14.6725	 97.82%	     11.93%	  0.5957
0.02.974.181 I     4	attn_v_b            	      0.03	  0.0000	     0.0000	  0.00	  0.00	    0.01%	 32768	   14.5414	 96.94%	     12.72%	  0.1483
0.02.974.183 I     7	attn_v_b            	      0.03	  0.0000	     0.0000	  0.00	  0.00	    0.01%	 32768	   14.5019	 96.68%	     11.90%	  0.5743
0.02.974.184 I     5	attn_v_b            	      0.02	  0.0000	     0.0000	  0.00	  0.00	    0.00%	 32768	   14.6447	 97.63%	     12.37%	  0.6198
0.02.974.186 I     3	attn_v_b            	      0.02	  0.0000	     0.0002	  0.00	  0.00	    0.63%	 32768	   12.7905	 85.27%	      2.44%	  0.0407
0.02.974.187 I     1	attn_v_b            	      0.02	  0.0000	     0.0000	  0.00	  0.00	    0.24%	 32768	   13.9328	 92.89%	      5.16%	  0.1983
0.02.974.189 I     2	attn_v_b            	      0.01	  0.0000	     0.0001	  0.00	  0.00	    0.59%	 32768	   12.0780	 80.52%	      2.49%	  0.0915
0.02.974.190 I     0	ffn_down            	      0.01	  0.0000	     0.0001	  0.00	  0.00	    0.07%	 12288	   13.3811	 98.50%	      2.91%	  0.0000
0.02.974.191 I     1	ffn_down            	      0.01	  0.0000	     0.0000	  0.00	  0.00	    0.03%	 12288	   13.3826	 98.51%	     11.36%	  0.6042
0.02.974.193 I     2	ffn_down            	      0.01	  0.0000	     0.0000	  0.00	  0.00	    0.07%	 12288	   13.1557	 96.84%	      2.74%	  0.4565
0.02.974.195 I    77	ffn_down_exps       	 400761.94	  0.0000	243497.1562	  0.76	343.77	  100.00%	524288	    5.1845	 27.29%	      0.00%	  0.0004
0.02.974.197 I    75	ffn_down_exps       	  73870.80	  0.0000	  4676.3564	  0.14	  6.88	  100.00%	524288	   16.6838	 87.81%	      0.02%	  0.0018
0.02.974.198 I    76	ffn_down_exps       	  63599.60	  0.0006	   188.1063	  0.12	  0.43	  100.00%	524288	   17.9299	 94.37%	      2.59%	  0.0026
0.02.974.200 I    74	ffn_down_exps       	  60198.20	  0.0000	   321.6243	  0.11	  0.61	  100.00%	524288	   18.0282	 94.89%	      1.19%	  0.0461
0.02.974.201 I    73	ffn_down_exps       	  55803.81	  0.0000	    40.9227	  0.11	  0.23	  100.00%	524288	   18.0973	 95.25%	      4.29%	  0.1002
0.02.974.203 I    72	ffn_down_exps       	  48615.91	  0.0000	    20.8937	  0.09	  0.18	  100.00%	524288	   18.2106	 95.85%	      4.94%	  0.0843
0.02.974.205 I    70	ffn_down_exps       	  43188.53	  0.0000	  1462.0964	  0.08	  2.24	  100.00%	524288	   17.1333	 90.18%	      0.06%	  0.0010
0.02.974.206 I    71	ffn_down_exps       	  38409.36	  0.0000	    29.7857	  0.07	  0.13	  100.00%	524288	   18.3480	 96.57%	      4.41%	  0.0115
0.02.974.208 I    69	ffn_down_exps       	  35846.53	  0.0007	   993.3175	  0.07	  1.83	  100.00%	524288	   17.3545	 91.34%	      0.05%	  0.0124
0.02.974.209 I    68	ffn_down_exps       	  28075.49	  0.0000	    10.5656	  0.05	  0.07	  100.00%	524288	   18.5468	 97.61%	      5.91%	  0.1169
0.02.974.211 I    67	ffn_down_exps       	  26362.24	  0.0002	    26.0577	  0.05	  0.08	  100.00%	524288	   18.5153	 97.45%	      3.76%	  0.1292
0.02.974.213 I    66	ffn_down_exps       	  22686.05	  0.0047	    16.0978	  0.04	  0.05	  100.00%	524288	   18.5956	 97.87%	      5.18%	  0.2215
0.02.974.214 I    65	ffn_down_exps       	  19961.16	  0.0010	     6.8882	  0.04	  0.04	  100.00%	524288	   18.6139	 97.97%	      5.75%	  0.2192
0.02.974.216 I    64	ffn_down_exps       	  18599.16	  0.0028	     5.4855	  0.04	  0.04	  100.00%	524288	   18.6405	 98.11%	      6.09%	  0.2166
0.02.974.217 I    63	ffn_down_exps       	  18587.92	  0.0007	     5.1194	  0.04	  0.04	  100.00%	524288	   18.6016	 97.90%	      5.67%	  0.1625
0.02.974.219 I    62	ffn_down_exps       	  16961.72	  0.0040	    12.9576	  0.03	  0.04	  100.00%	524288	   18.6342	 98.07%	      5.47%	  0.1613
0.02.974.220 I    61	ffn_down_exps       	  15004.77	  0.0022	     7.1500	  0.03	  0.03	  100.00%	524288	   18.6247	 98.02%	      5.31%	  0.1892
0.02.974.221 I    60	ffn_down_exps       	  14466.24	  0.0030	     4.1917	  0.03	  0.03	  100.00%	524288	   18.6420	 98.12%	      6.01%	  0.1499
0.02.974.223 I    59	ffn_down_exps       	  13545.32	  0.0025	    12.2963	  0.03	  0.04	  100.00%	524288	   18.6169	 97.98%	      4.23%	  0.1507
0.02.974.225 I    58	ffn_down_exps       	  13151.72	  0.0021	     5.3501	  0.03	  0.03	  100.00%	524288	   18.6028	 97.91%	      5.69%	  0.1275
0.02.974.226 I    56	ffn_down_exps       	  11763.86	  0.0020	     5.6466	  0.02	  0.03	  100.00%	524288	   18.5804	 97.79%	      4.67%	  0.0914
0.02.974.228 I    55	ffn_down_exps       	  11323.46	  0.0006	     6.9154	  0.02	  0.03	  100.00%	524288	   18.5617	 97.69%	      4.99%	  0.0930
0.02.974.229 I    57	ffn_down_exps       	  11251.27	  0.0010	    16.3051	  0.02	  0.03	  100.00%	524288	   18.6180	 97.99%	      3.68%	  0.0690
0.02.974.230 I    54	ffn_down_exps       	  10257.10	  0.0018	     5.1472	  0.02	  0.03	  100.00%	524288	   18.5823	 97.80%	      4.21%	  0.0596
0.02.974.232 I    53	ffn_down_exps       	   9613.60	  0.0010	    30.6103	  0.02	  0.05	  100.00%	524288	   18.5500	 97.63%	      1.61%	  0.0428
0.02.974.233 I    52	ffn_down_exps       	   9304.61	  0.0008	    12.6031	  0.02	  0.04	  100.00%	524288	   18.5228	 97.49%	      2.19%	  0.0857
0.02.974.235 I    50	ffn_down_exps       	   9170.01	  0.0008	    14.3114	  0.02	  0.05	  100.00%	524288	   18.3496	 96.58%	      2.02%	  0.0387
0.02.974.237 I    49	ffn_down_exps       	   8983.50	  0.0015	    32.4442	  0.02	  0.08	  100.00%	524288	   18.1338	 95.44%	      1.10%	  0.0063
0.02.974.238 I    51	ffn_down_exps       	   8289.34	  0.0006	     8.8831	  0.02	  0.03	  100.00%	524288	   18.5086	 97.41%	      3.11%	  0.0682
0.02.974.240 I    48	ffn_down_exps       	   7432.09	  0.0011	   361.3962	  0.01	  0.50	  100.00%	524288	   17.6613	 92.95%	      0.03%	  0.0066
0.02.974.241 I    47	ffn_down_exps       	   6759.36	  0.0004	     6.2405	  0.01	  0.03	  100.00%	524288	   18.3941	 96.81%	      2.94%	  0.0480
0.02.974.243 I    46	ffn_down_exps       	   6008.55	  0.0001	    14.0521	  0.01	  0.03	  100.00%	524288	   18.4081	 96.88%	      1.81%	  0.0851
0.02.974.244 I    45	ffn_down_exps       	   5587.24	  0.0012	     3.4436	  0.01	  0.02	  100.00%	524288	   18.4434	 97.07%	      3.99%	  0.0874
0.02.974.246 I    44	ffn_down_exps       	   4749.02	  0.0003	     2.4525	  0.01	  0.01	  100.00%	524288	   18.4481	 97.10%	      4.90%	  0.1162
0.02.974.247 I    43	ffn_down_exps       	   4710.59	  0.0000	     4.2292	  0.01	  0.02	  100.00%	524288	   18.3803	 96.74%	      3.17%	  0.0615
0.02.974.249 I    42	ffn_down_exps       	   4047.94	  0.0005	     8.9091	  0.01	  0.02	  100.00%	524288	   18.4181	 96.94%	      2.42%	  0.0720
0.02.974.251 I    41	ffn_down_exps       	   3731.91	  0.0005	     4.7049	  0.01	  0.01	  100.00%	524288	   18.4358	 97.03%	      3.43%	  0.1022
0.02.974.252 I    40	ffn_down_exps       	   3275.30	  0.0003	     5.2963	  0.01	  0.01	  100.00%	524288	   18.4833	 97.28%	      3.22%	  0.0773
0.02.974.254 I    39	ffn_down_exps       	   2965.91	  0.0002	     2.2926	  0.01	  0.01	  100.00%	524288	   18.4945	 97.34%	      4.10%	  0.0661
0.02.974.255 I    38	ffn_down_exps       	   2620.78	  0.0003	     3.2785	  0.00	  0.01	  100.00%	524288	   18.5103	 97.42%	      3.36%	  0.1284
0.02.974.257 I    37	ffn_down_exps       	   2184.59	  0.0001	     0.6382	  0.00	  0.00	  100.00%	524288	   18.5968	 97.88%	      6.11%	  0.1206
0.02.974.259 I    36	ffn_down_exps       	   2064.66	  0.0002	     1.5370	  0.00	  0.01	  100.00%	524288	   18.5876	 97.83%	      4.41%	  0.1743
0.02.974.260 I     8	ffn_down_exps       	   2054.59	  0.0000	  1696.1641	  0.00	  2.35	    9.14%	524288	    1.4865	  7.82%	      0.00%	  0.0002
0.02.974.262 I    35	ffn_down_exps       	   1832.02	  0.0002	     1.0170	  0.00	  0.00	  100.00%	524288	   18.5821	 97.80%	      4.73%	  0.1132
0.02.974.264 I    34	ffn_down_exps       	   1622.46	  0.0001	     9.7155	  0.00	  0.01	  100.00%	524288	   18.5016	 97.38%	      0.62%	  0.0689
0.02.974.265 I    33	ffn_down_exps       	   1429.40	  0.0002	     1.3665	  0.00	  0.00	  100.00%	524288	   18.5563	 97.66%	      3.38%	  0.0525
