config	env_block	avg_ts	stddev_ts	n_runs
c0_default_v5		6.351383	0.002923	5
c1_cpu1_stack	GGML_CCD_POOLS=1 GGML_CCD_WORK_DIST=1 GGML_BARRIER_LOCAL_BETWEEN_OPS=1	6.336658	0.005142	5
c2_mbind_off	GGML_NUMA_REPACK_INTERLEAVE=0	6.360573	0.007091	5
c3_cpu1_plus_mbind	GGML_CCD_POOLS=1 GGML_CCD_WORK_DIST=1 GGML_BARRIER_LOCAL_BETWEEN_OPS=1 GGML_NUMA_REPACK_INTERLEAVE=0	6.360093	0.005497	5
