test_class,test_name,build,libomp,libomp_provenance,test_mode,reps,t_per_s_mean,t_per_s_std,note
LTO,clang+libomp+znver5+PGO,build_libomp_pgo_use,system,/usr/lib/llvm-20/lib/libomp.so.5 (apt llvm-20),tg32 -pp 64 -mmp 0,5,28.38,0.08,warm position 2 of 4 — clean reference
LTO,clang+libomp+znver5+PGO+LTO,build_libomp_pgo_lto,system,/usr/lib/llvm-20/lib/libomp.so.5 (apt llvm-20),tg32 -pp 64 -mmp 0,5,28.09,0.04,warm position 3 — Δ -1.0% vs PGO; within noise
LTO,clang+libomp+znver5,build_libomp,system,/usr/lib/llvm-20/lib/libomp.so.5 (apt llvm-20),tg32 -pp 64 -mmp 0,5,28.18 baseline reference,n/a,baseline (cold-warmed); LTO does not compound
libomp_BOLT,PGO + system libomp (warm pos 2),build_libomp_pgo_use,system,/usr/lib/llvm-20/lib/libomp.so.5 (apt llvm-20),tg32 -pp 64 -mmp 0,5,27.77,0.06,warm position 2 of 4 — system libomp baseline
libomp_BOLT,PGO + custom-built libomp (no BOLT) via symlink,build_libomp_pgo_use,custom (rebuilt -O3 znver5 --emit-relocs),build from openmp-20.1.8.src,tg32 -pp 64 -mmp 0,5,19.59,7.89,position 3 — high std; INCONCLUSIVE; appears worse than system but variance dominates
libomp_BOLT,PGO + BOLTed-libomp via symlink,build_libomp_pgo_use,BOLTed (custom-built then llvm-bolt-20 with single-model coder fdata),BOLT applied with reorder-blocks=ext-tsp + reorder-functions=cdsort + split-functions + split-all-cold,tg32 -pp 64 -mmp 0,5,29.58,0.04,warm position 2 in symlink sweep — TIGHT std; functional and produces valid output; not faster than system libomp
libomp_BOLT,PGO + system libomp (warm pos 4),build_libomp_pgo_use,system,/usr/lib/llvm-20/lib/libomp.so.5 (apt llvm-20),tg32 -pp 64 -mmp 0,5,31.95,0.09,warm position 4 in symlink sweep — TIGHT std; baseline marginally faster than BOLTed (+8.0%) but position effect confounds
PPL_check,Coder-30B-A3B Q4_K_M chunks 1-12 with BOLTed libomp,build_libomp_pgo_use,BOLTed,LLVM 20.1.8 BOLT-rewrite,wiki_chunks_1-12,1,11.1146,0.62405,bit-exact vs PGO+system-libomp baseline (no quality regression)
