case	status	exit_code	stdout	stderr	timeout_s	log_cap_bytes
nemotron_nano_9b_q8_cpu_v7	pass	0	/mnt/raid0/llm/tmp/nemotron-nano-admission-smoke-20260716/nemotron_nano_9b_q8_cpu_v7.stdout	/mnt/raid0/llm/tmp/nemotron-nano-admission-smoke-20260716/nemotron_nano_9b_q8_cpu_v7.stderr	180	1048576
nemotron_nano_9b_q8_mi210_v7	pass	0	/mnt/raid0/llm/tmp/nemotron-nano-admission-smoke-20260716/nemotron_nano_9b_q8_mi210_v7.stdout	/mnt/raid0/llm/tmp/nemotron-nano-admission-smoke-20260716/nemotron_nano_9b_q8_mi210_v7.stderr	180	1048576
