model,config,instance,threads,cpu_binding,spec,prompt_idx,tokens_generated,time_ms,tokens_per_sec
30B-A3B,A_192t,1,192,all,linear_dm32,0,256,16537,15.48
30B-A3B,A_192t,1,192,all,linear_dm32,1,256,22380,11.44
30B-A3B,A_192t,1,192,all,linear_dm32,2,256,16341,15.67
30B-A3B,B_96t_node0,1,96,0-47,96-143,linear_dm32,0,256,7066,36.23
30B-A3B,B_96t_node0,1,96,0-47,96-143,linear_dm32,1,256,8674,29.51
30B-A3B,B_96t_node0,1,96,0-47,96-143,linear_dm32,2,256,7831,32.69
30B-A3B,D_4x48t,q0a,48,node0a,linear_dm32,0,256,9022,28.38
30B-A3B,D_4x48t,q0b,48,node0b,linear_dm32,0,256,8855,28.91
30B-A3B,D_4x48t,q1a,48,node1a,linear_dm32,0,256,10047,25.48
30B-A3B,D_4x48t,q1b,48,node1b,linear_dm32,0,256,9757,26.24
30B-A3B,D_4x48t,q0a,48,node0a,linear_dm32,1,256,12091,21.17
30B-A3B,D_4x48t,q0b,48,node0b,linear_dm32,1,256,11088,23.09
30B-A3B,D_4x48t,q1a,48,node1a,linear_dm32,1,256,12972,19.73
30B-A3B,D_4x48t,q1b,48,node1b,linear_dm32,1,256,12906,19.84
30B-A3B,D_4x48t,q0a,48,node0a,linear_dm32,2,256,10160,25.20
30B-A3B,D_4x48t,q0b,48,node0b,linear_dm32,2,256,10034,25.51
30B-A3B,D_4x48t,q1a,48,node1a,linear_dm32,2,256,11997,21.34
30B-A3B,D_4x48t,q1b,48,node1b,linear_dm32,2,256,11395,22.47
235B-A22B,A_192t,1,192,all,linear_dm32,0,256,51871,4.94
235B-A22B,A_192t,1,192,all,linear_dm32,1,256,44903,5.70
235B-A22B,A_192t,1,192,all,linear_dm32,2,256,51788,4.94
235B-A22B,B_96t_node0,1,96,0-47,96-143,linear_dm32,0,256,31728,8.07
235B-A22B,B_96t_node0,1,96,0-47,96-143,linear_dm32,1,256,30682,8.34
235B-A22B,B_96t_node0,1,96,0-47,96-143,linear_dm32,2,256,35612,7.19
480B-A35B,A_192t,1,192,all,linear_dm48,0,256,62902,4.07
480B-A35B,A_192t,1,192,all,linear_dm48,1,256,90319,2.83
480B-A35B,A_192t,1,192,all,linear_dm48,2,256,80529,3.18
480B-A35B,B_96t_node0,1,96,0-47,96-143,linear_dm48,0,256,50287,5.09
480B-A35B,B_96t_node0,1,96,0-47,96-143,linear_dm48,1,256,75838,3.38
480B-A35B,B_96t_node0,1,96,0-47,96-143,linear_dm48,2,256,68021,3.76
